Record,strat_depth,SH20_age,Group,Guano_Zone,Guano_Sum,cln_P2O5_TiO2,cln_CaO_TiO2,cln_Cu_TiO2,cln_Zn_TiO2,cln_Sr_TiO2,cln_P_Ti,cln_Ca_Ti,cln_Cu_Ti,cln_Zn_Ti,cln_Sr_Ti,cln_P_Ti_CS,cln_Ca_Ti_CS,cln_Cu_Ti_CS,cln_Zn_Ti_CS,cln_Sr_Ti_CS,Plot_order
,cm,cal a BP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARD,80.3,3054,Unit 10,ARD GZ 4,Guano,2.096202995,0.981895463,1.826650046,1.982113883,1.574342162,2.096202995,0.981895463,1.826650046,1.982113883,1.574342162,0.091509286,0.983966834,1.713925863,2.007888047,2.137812123,4
ARD,83.5,3081,Unit 10,ARD GZ 4,Guano,2.129687138,1.03932338,1.884289072,2.111126919,1.581968347,2.129687138,1.03932338,1.884289072,2.111126919,1.581968347,1.870658248,1.473384239,2.966116303,3.419713367,4.109892938,4
ARD,86.6,3108,Unit 10,ARD GZ 4,Guano,1.849921667,0.817619583,1.583920933,1.60638017,1.323724622,1.849921667,0.817619583,1.583920933,1.60638017,1.323724622,1.913217862,1.183233861,1.802564075,1.921489955,1.832129932,4
ARD,89.8,3136,Unit 10,ARD GZ 4,Guano,1.943285751,0.915581024,1.711943004,1.777419786,1.378252272,1.943285751,0.915581024,1.711943004,1.777419786,1.378252272,-0.267739461,0.721082616,1.254905308,1.188211541,1.145229861,4
ARD,92.9,3163,Unit 10,ARD GZ 4,Guano,2.001029234,0.971770262,1.841160506,1.973854354,1.454467211,2.001029234,0.971770262,1.841160506,1.973854354,1.454467211,0.61414293,0.60707647,1.31513288,1.13034958,1.150125703,4
ARD,96.1,3191,Unit 10,ARD GZ 4,Guano,2.389055223,1.326581122,2.178981361,2.25625937,1.875518719,2.389055223,1.326581122,2.178981361,2.25625937,1.875518719,2.032000527,1.636286213,2.130342364,2.083944777,1.917124219,4
ARD,99.3,3219,Unit 10,ARD GZ 4,Guano,2.089018898,0.973101821,1.843821852,1.853953822,1.546926744,2.089018898,0.973101821,1.843821852,1.853953822,1.546926744,1.794672341,1.416227674,1.920914359,1.770233484,1.442300885,4
ARD,102.4,3246,Unit 10,ARD GZ 4,Guano,2.004059737,0.895963055,1.824733464,1.80498141,1.494010933,2.004059737,0.895963055,1.824733464,1.80498141,1.494010933,1.671648926,1.186119533,1.70638618,1.654557889,1.179158524,4
ARD,105.6,3274,Unit 10,ARD GZ 4,Guano,1.886896469,0.917452006,1.603465655,1.635713002,1.37835489,1.886896469,0.917452006,1.603465655,1.635713002,1.37835489,1.138985502,1.078145261,1.578778701,1.464867833,1.067318994,4
ARD,108.7,3301,Unit 10,ARD GZ 4,Guano,1.784829115,0.824505057,1.490915842,1.600835766,1.326305934,1.784829115,0.824505057,1.490915842,1.600835766,1.326305934,1.294507799,0.988675612,1.160398879,1.152838533,0.904620409,4
ARD,111.9,3329,Unit 9,ARD GZ 4,Guano,1.261371713,0.488749952,0.840247885,0.93895788,0.844111992,1.261371713,0.488749952,0.840247885,0.93895788,0.844111992,0.287438233,0.440253929,0.794724934,0.788581117,0.281363111,4
ARD,115.1,3357,Unit 9,ARD GZ 4,Guano,1.019797949,0.360084028,0.662521694,0.694996426,0.638106174,1.019797949,0.360084028,0.662521694,0.694996426,0.638106174,1.012112991,0.525559439,0.333447783,0.329527508,0.254382652,4
ARD,118.2,3385,Unit 9,ARD GZ 4,Guano,0.92374197,0.300030264,0.5503813,0.59185914,0.585542289,0.92374197,0.300030264,0.5503813,0.59185914,0.585542289,0.169623491,0.08275848,-0.485708594,-0.558228916,-0.434650265,4
ARD,121.4,3416,Unit 9,ARD GZ 4,Guano,0.70504079,0.164624826,0.444246243,0.459157056,0.456826086,0.70504079,0.164624826,0.444246243,0.459157056,0.456826086,0.093956346,0.172717283,0.314059617,0.32220138,0.150204305,4
ARD,124.5,3451,Unit 9,ARD GZ 4,Guano,0.589657497,0.127392112,0.243839397,0.462840149,0.380707186,0.589657497,0.127392112,0.243839397,0.462840149,0.380707186,-0.134527192,0.231670627,0.159709461,-0.101549255,0.113938828,4
ARD,127.7,3486,Unit 9,ARD GZ 4,Guano,0.547215812,0.111205137,0.237000795,0.393438776,0.337824712,0.547215812,0.111205137,0.237000795,0.393438776,0.337824712,0.574670159,0.323865991,0.099201937,0.084229436,0.122606422,4
ARD,130.9,3520,Unit 9,ARD GZ 4,Guano,0.500726485,0.079519324,0.14012989,0.281060401,0.271155697,0.500726485,0.079519324,0.14012989,0.281060401,0.271155697,-0.129288682,0.18275947,0.00860454,0.23255916,0.321569231,4
ARD,134,3554,Unit 9,ARD GZ 4,Guano,0.623477173,0.16051616,0.315652487,0.431134207,0.4617934,0.623477173,0.16051616,0.315652487,0.431134207,0.4617934,0.448900353,0.211340988,-0.441388029,-0.209994582,-0.168971438,4
ARD,137.2,3588,Unit 9,ARD GZ 4,Guano,0.42160802,0.067009592,0.188813851,0.299984962,0.280171566,0.42160802,0.067009592,0.188813851,0.299984962,0.280171566,0.645851356,0.198193796,-0.165507283,0.038513312,-0.235722584,4
