Record,Section,Strat_Depth_cm,SH20_95CI_min_age,SH20_95CI_max_age,SH20_median_age,SH20_mean_age,Type,Group,Guano_Zone,Guano_Sum,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,SO2,Cl,Location,Location1,Location2,Reference
YAN,YAN 8A-I,69,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.62,1.598,16.58,9.28,0.168,4.53,7.73,3.95,0.71,0.252,0.089,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,71,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.5,1.597,16.59,9.2,0.168,4.52,7.77,4.02,0.72,0.252,0.091,0.08,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,73,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.49,1.601,16.55,9.29,0.169,4.54,7.7,3.9,0.72,0.255,0.093,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,75,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.57,1.589,16.65,9.17,0.167,4.5,7.73,3.98,0.71,0.25,0.101,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,77,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.85,1.571,16.79,9.07,0.164,4.41,7.74,4.03,0.7,0.241,0.087,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,79,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.84,1.572,16.77,9.02,0.165,4.4,7.73,4.02,0.69,0.241,0.083,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,81,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.77,1.597,16.65,9.15,0.165,4.45,7.61,4.02,0.71,0.247,0.085,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,83,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.88,1.631,16.85,9.52,0.173,4.97,7.26,4.26,0.72,0.264,0.116,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,85,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,51.85,1.638,16.38,9.68,0.173,4.83,7.17,3.8,0.75,0.263,0.091,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,87,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.36,1.623,16.52,9.39,0.172,4.57,7.7,3.99,0.73,0.258,0.116,0.11,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,89,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.64,1.604,16.58,9.23,0.17,4.49,7.88,3.99,0.71,0.25,0.095,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,91,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.76,1.575,16.68,8.94,0.166,4.38,8.13,4.08,0.69,0.243,0.093,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,93,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,51.98,1.635,16.44,9.57,0.173,4.68,7.16,3.84,0.77,0.257,0.117,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,95,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,51.99,1.629,16.48,9.59,0.174,4.69,7.1,3.84,0.77,0.259,0.122,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,97,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,51.88,1.621,16.46,9.48,0.173,4.67,7.12,3.82,0.77,0.255,0.117,0.03,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-I,99,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.12,1.589,16.58,9.3,0.167,4.52,7.2,3.83,0.75,0.25,0.125,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,101,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,51.34,1.561,16.37,9.2,0.168,4.51,7.03,4.18,0.8,0.246,0.131,0.23,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,103,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,51.59,1.55,16.48,9.1,0.166,4.45,7.14,3.86,0.75,0.242,0.127,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,105,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.28,1.564,16.67,9.11,0.165,4.49,7.4,4.39,0.76,0.243,0.125,0.22,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,107,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.13,1.561,16.67,9.06,0.165,4.45,7.43,3.93,0.74,0.242,0.11,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,109,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.37,1.566,16.72,9.06,0.164,4.46,7.57,3.93,0.73,0.24,0.106,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,111,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.56,1.552,16.79,8.96,0.163,4.41,7.91,4.03,0.7,0.239,0.106,0.07,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,113,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.56,1.547,16.82,8.87,0.161,4.41,8.05,4.04,0.69,0.236,0.102,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,115,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.68,1.533,16.93,8.85,0.159,4.44,8.16,3.92,0.68,0.235,0.106,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,117,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.59,1.538,16.92,8.87,0.16,4.47,8.16,3.98,0.68,0.236,0.108,0.03,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,119,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.41,1.534,16.84,8.87,0.161,4.45,8.29,3.99,0.68,0.237,0.105,0.07,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,121,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.46,1.549,16.83,8.91,0.161,4.45,8.11,4.22,0.71,0.24,0.128,0.19,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,123,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.4,1.541,16.75,8.82,0.161,4.38,7.96,3.99,0.7,0.235,0.111,0.06,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,125,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.36,1.548,17.32,8.86,0.163,4.7,8.01,4.33,0.68,0.239,0.107,0.07,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,127,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.61,1.529,16.85,8.82,0.16,4.4,8,3.97,0.69,0.234,0.106,0.06,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,129,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.71,1.513,17.03,8.7,0.158,4.37,8.16,4.02,0.68,0.227,0.107,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,131,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.99,1.502,17.24,8.64,0.156,4.4,8.4,3.96,0.65,0.227,0.077,0.07,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,133,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.11,1.524,17.01,8.71,0.159,4.38,8.31,4.05,0.67,0.233,0.097,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,135,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.61,1.518,16.89,8.67,0.158,4.33,8.22,4.05,0.68,0.231,0.101,0.07,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,137,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.76,1.5,17.19,8.68,0.156,4.41,8.43,3.99,0.65,0.228,0.097,0.07,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,139,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.9,1.508,17.24,8.74,0.157,4.48,8.49,3.94,0.65,0.231,0.106,0.09,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,141,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.37,1.5,17.02,8.75,0.157,4.47,8.24,3.92,0.66,0.229,0.105,0.07,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,143,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.39,1.515,17.57,8.78,0.159,4.87,8.4,4.24,0.63,0.234,0.082,0.06,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,145,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.6,1.549,16.87,8.96,0.161,4.48,7.98,3.9,0.69,0.236,0.108,0.09,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,147,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.81,1.543,16.94,8.92,0.161,4.49,7.9,3.99,0.7,0.236,0.097,0.07,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,149,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.92,1.535,16.9,8.8,0.159,4.37,7.92,4.08,0.7,0.234,0.091,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,151,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.93,1.535,16.99,8.74,0.158,4.4,8.22,4.1,0.68,0.234,0.093,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,153,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.72,1.518,17.09,8.76,0.157,4.5,8.3,3.97,0.66,0.231,0.095,0.03,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,155,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.27,1.581,16.58,9.14,0.163,4.58,7.71,3.95,0.74,0.25,0.1,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,157,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.46,1.6,16.61,9.22,0.165,4.59,7.7,3.95,0.75,0.255,0.104,0.03,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,159,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.15,1.6,16.47,9.26,0.166,4.63,7.69,3.9,0.76,0.263,0.102,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,161,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.16,1.6,16.44,9.22,0.166,4.64,7.72,3.9,0.75,0.264,0.102,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,163,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.01,1.595,16.42,9.23,0.165,4.62,7.68,3.89,0.75,0.264,0.101,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,165,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.5,1.606,16.57,9.21,0.164,4.59,7.77,3.92,0.74,0.262,0.102,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,167,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.54,1.584,16.64,9.08,0.163,4.55,7.89,3.99,0.73,0.257,0.102,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8A-II,169,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.84,1.559,16.78,8.84,0.16,4.42,8.06,4.07,0.71,0.252,0.097,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,171,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.89,1.538,16.94,8.74,0.159,4.41,8.37,4.04,0.68,0.247,0.097,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,173,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.76,1.531,16.93,8.73,0.158,4.47,8.44,4.01,0.67,0.246,0.11,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,174,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.78,1.519,16.95,8.69,0.157,4.4,8.48,4.01,0.67,0.241,0.089,0.03,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,175,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.81,1.528,17.02,8.7,0.159,4.45,8.49,4.05,0.67,0.247,0.105,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,176,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.92,1.547,16.95,8.82,0.158,4.41,8.3,4.1,0.68,0.248,0.068,0.03,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,177,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.08,1.53,17.1,8.68,0.156,4.4,8.6,4.05,0.65,0.244,0.107,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,178,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.97,1.552,16.97,8.88,0.158,4.41,8.3,4.15,0.69,0.25,0.078,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,179,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53,1.535,16.98,8.73,0.158,4.42,8.39,4.07,0.68,0.25,0.111,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,180,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.08,1.536,17.06,8.73,0.156,4.4,8.43,4.08,0.66,0.245,0.103,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,181,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.03,1.562,16.91,8.89,0.159,4.43,8.25,4.07,0.68,0.257,0.112,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,182,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.54,1.547,17.14,8.8,0.155,4.35,8.35,4.21,0.67,0.25,0.105,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,183,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.07,1.554,16.95,8.88,0.156,4.43,8.28,4.09,0.66,0.256,0.114,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,184,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.65,1.615,16.77,9.06,0.16,4.37,8.1,4.45,0.66,0.25,0.086,0.06,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,186,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.75,1.65,16.64,9.37,0.162,4.58,8.15,4.19,0.65,0.252,0.101,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
