Depth_cm,Si,Cl,K,Ca,Ti,Mn,Fe,Zn,Br,Rb,Sr,Zr,Ba,Pb
62.2,1854,5606,22153,21857,18048,13304,844466,4577,3494,14513,15783,4778,1224,3349
62.4,1829,5177,22885,22701,18635,13379,857011,4796,3836,14007,15157,4668,1045,3706
62.6,1985,5009,23645,22990,18667,13316,832968,5083,3978,13857,15346,4842,1247,3491
62.8,1848,5499,22644,22494,18064,13331,851555,5074,3568,14235,15339,4352,1178,3347
63,1728,5644,21776,22158,17923,13107,845135,4813,3499,14640,15737,4186,1181,3175
63.2,1786,5162,22424,22107,18137,12568,827203,4721,3834,13301,15153,4411,1186,3008
63.4,1932,5035,22682,21968,18418,13170,840748,4459,3871,13641,15853,4635,1030,2806
63.6,1791,4856,22895,22598,18144,13414,849437,4877,3556,14667,15153,4844,1332,2684
63.8,2178,4666,22971,22603,18445,13116,847241,4965,3563,14341,15803,5354,1040,2819
64,2219,4436,23655,22993,18261,13011,841175,4683,3800,13074,15601,4777,1259,2456
64.2,2362,4269,23553,22950,18446,13346,852877,4556,3497,13520,15594,4713,1198,2396
64.4,2122,4665,23187,22388,18758,13277,870837,4798,3289,14457,15623,4743,1147,2611
64.6,2310,4714,23601,23015,18928,13400,874114,4908,3294,14411,15149,4232,962,2787
64.8,2030,4801,23479,21741,18658,13156,858049,4876,3366,14101,15354,4743,1193,2577
65,2033,4757,23354,21923,18515,12842,853096,5107,3663,14246,15231,4461,1281,2427
65.2,2185,4588,23709,21868,18257,12890,857209,4775,3705,15257,14734,4480,1160,2063
65.4,2320,4420,24589,22087,18355,13284,865707,4766,3224,14602,15062,4523,1299,1729
65.6,2217,4445,24783,21656,18471,12916,872048,4807,3888,14796,15651,4653,1231,2073
65.8,2081,4599,24039,21343,18098,12820,866316,4836,3602,14922,14564,4622,1339,2231
66,1932,4749,24143,21146,18522,12781,869438,4771,3662,14429,14857,4197,1368,1851
66.2,1991,4875,24686,20204,18053,12625,875803,4550,3576,14120,14136,4031,1254,2078
66.4,1852,4907,24205,18932,18061,12513,876811,5193,3712,14824,13518,4388,1245,2054
66.6,1939,4736,24962,18364,17893,12385,888171,4767,3577,15266,12589,4360,1342,2286
66.8,1965,4548,26495,16726,17729,11881,899932,4954,3932,16236,11517,3978,1517,2342
67,1849,4721,26723,14261,17864,11478,908742,4811,3638,16412,10306,4556,1392,2372
67.2,1727,4669,26739,13425,17355,11040,901150,4615,3624,16789,9957,4284,1474,2327
67.4,1661,4815,26320,12639,17373,10929,896517,4939,4105,16946,9713,4307,1456,2525
67.6,1499,4986,25993,11825,17184,10714,891329,4493,3723,16872,9128,4222,1278,2551
67.8,1552,5348,24946,11967,16814,10453,878932,4723,3944,17045,9483,4558,1231,2446
68,1495,5374,24486,11865,16344,10415,865410,4535,3678,17368,9052,4662,1430,2588
68.2,1652,4831,25163,11912,16895,10443,876902,4647,3622,17256,9540,4522,1414,2342
68.4,1771,4517,26105,12757,16983,10923,873865,4802,4054,15992,9980,4829,1292,2221
68.6,1949,4329,26462,12395,17261,10985,889452,4972,3791,16732,9971,4732,1419,2582
68.8,1978,4246,28495,12164,17853,11140,903832,4867,3627,17359,9429,4413,1387,2670
69,2180,4096,28366,12665,17582,10815,903718,5044,3895,17507,9623,4635,1482,2636
69.2,2007,4325,27251,13299,17698,11082,886618,4567,3905,15928,10100,4579,1441,2452
69.4,1810,4894,26080,13240,17699,10881,877027,4511,3909,16037,10632,4545,1394,2626
69.6,1508,5446,23304,13172,17007,10281,827199,4323,3709,14661,11210,5200,1339,2284
69.8,1423,5963,20584,13176,16561,10005,783698,4207,3761,13424,12779,6359,1241,1933
70,1276,6752,18410,13884,15852,10532,759660,4257,3894,13502,15198,6049,1004,2254
70.2,1007,7195,16209,16032,15236,10670,735487,4134,4130,13277,15094,5318,920,1918
70.4,1060,6807,15402,16878,14203,11133,740532,4437,3881,13207,15500,3835,937,1931
70.6,1099,6918,16081,17118,14654,11738,763801,4499,3627,13596,15342,3252,935,1866
70.8,1050,6890,16246,17808,14892,12456,762890,4225,3950,13215,15359,4260,1056,1684
71,1184,6174,18052,19479,15861,13580,780712,4383,3456,13673,15445,3961,1086,1792
71.2,1385,5327,19775,21793,17007,14182,824270,4536,3436,14245,15117,3434,1004,1686
71.4,1827,4583,22096,22767,17911,16087,846277,4820,3900,13827,15867,4434,1108,1782
71.6,1932,4630,22087,23346,17953,18203,823807,4775,3795,13455,15286,4599,1113,1752
71.8,1450,5338,19694,21456,16576,18651,784173,4685,3696,12869,16107,3881,1054,1614
72,1710,5219,19763,21097,16285,19208,783283,4040,3670,13163,15962,4183,1049,1739
72.2,1980,4790,20810,21872,16995,19427,796436,4621,3665,13203,16061,4320,977,1762
72.4,1999,4566,21162,22387,17290,18444,804850,4211,3211,13517,16100,4680,970,1773
72.6,2108,4009,22365,23598,17836,16634,827256,4497,3322,13931,16168,4322,1131,1738
72.8,2187,3944,22765,22993,17742,15585,826071,4550,3231,12940,15793,3927,1256,1668
73,2212,3945,22718,23547,17823,15084,825820,4505,3252,14149,15831,4362,1187,1507
73.2,2090,3954,22853,23527,18045,14577,830008,4477,3467,13534,15579,4557,1089,1706
73.4,2150,4087,22625,23253,17751,14347,827783,4536,3532,13595,16543,4057,1195,1662
73.6,2087,3999,22917,23226,17840,13813,822720,5008,3011,13824,16148,5184,1303,1781
73.8,2162,4109,22628,23090,18033,13543,823232,4561,3290,13581,16194,4322,1266,1600
74,1944,4369,21839,22988,17646,13127,815582,4573,3095,13906,16063,4842,1157,1554
74.2,1848,4814,21135,22592,17433,13138,806779,4583,3556,13431,16224,4926,1172,1587
74.4,1389,5829,19351,20725,16755,12608,792540,4743,3321,14692,16597,4414,1128,1735
74.6,1435,6398,18124,19813,15776,12229,780008,4543,3580,13787,16239,5077,1195,1853
74.8,1261,6588,17039,18650,15328,11674,751028,4756,3322,13480,15683,5313,1018,1733
75,1040,6808,16593,18761,15107,11496,745013,4481,3411,13202,15704,5179,911,1604
75.2,972,6598,17379,18993,15613,11611,749155,4178,3573,12889,15758,5215,1072,1759
75.4,1551,5490,20224,21898,17100,12582,789341,4213,3480,13818,16301,4487,1063,1724
75.6,1787,5228,20318,21778,16742,12992,793359,4492,3738,13092,16087,4590,1073,1657
75.8,2068,4695,22001,23383,17699,13326,820586,4764,3505,13090,16451,4868,1116,1650
76,2320,4124,23468,23947,18369,13998,842742,4427,3691,13579,15499,4363,996,1496
76.2,2403,4071,23797,24852,18121,14198,847218,4866,2976,14211,16409,4195,1230,1541
76.4,2450,4203,24206,25323,19048,14364,862737,4814,3711,13642,16521,4286,1062,1465
76.6,2166,4426,23388,24802,19045,13986,864047,4661,3600,13790,15923,3835,1082,1688
76.8,2214,4580,23693,24614,18761,14572,874359,4735,3449,14190,15927,4467,1054,1686
77,2392,4144,24558,25440,19241,14714,887470,5187,3717,14336,15732,3782,1248,1522
77.2,2531,4161,25091,25244,19182,15096,899204,4739,3567,15299,16233,4510,1389,1808
77.4,2539,4218,25285,25170,19407,15150,898442,5026,3679,15011,15871,4546,1189,1439
77.6,2432,4505,24881,24994,19087,14773,897856,5073,3520,14434,15770,3914,1189,1550
77.8,2109,4645,23923,24103,18904,14276,876162,4852,3493,14326,15882,4061,1173,1225
78,2187,4895,23354,23649,18563,14438,873316,4951,3453,14628,15647,4173,1212,1536
78.2,2366,4108,24430,24756,19268,14587,888670,5027,3468,14715,15621,3716,1319,1610
78.4,2194,4503,23768,23697,18328,14472,881801,4783,3607,15088,15309,4207,1411,1757
78.6,2157,4198,24558,24475,18970,14545,887348,4984,3187,14376,15543,2914,1187,1522
78.8,2159,4111,23992,24179,18390,14256,868991,4813,3308,14009,16047,3684,1163,1653
79,2319,4098,24329,24492,18764,14422,876309,4760,3257,14556,15416,3101,1238,1724
79.2,2179,4236,24371,24321,18941,14764,889615,4924,3704,14234,15748,3186,1169,1644
79.4,2111,4309,24610,24438,18981,14906,895455,4852,3453,15309,15586,3434,1135,1599
79.6,2133,4603,24471,24725,19132,14921,908249,5002,3408,14657,15545,3485,1367,1527
79.8,2188,4411,24903,25097,19430,15074,914154,5011,3706,15381,16148,3597,1294,1531
80,2095,4723,25019,24885,19708,14885,914725,4907,3782,14972,15392,3325,1246,1585
80.2,1820,5035,24508,24753,19121,14941,914496,4998,3674,15131,15605,3265,1240,1579
80.4,1548,5750,22859,23707,18823,14940,901223,5083,3939,15312,15895,3588,1158,1651
80.6,1236,6569,21354,22568,17998,14234,884844,4784,3638,14706,15964,4058,1041,1823
80.8,1141,6437,21543,22420,17976,14302,883877,4859,4057,14109,16017,3798,1269,1739
81,1312,6400,21522,22535,18196,14254,882194,5826,3887,14874,16095,3268,1057,1411
81.2,1426,5691,22203,23595,18497,14178,877281,5322,3757,14800,15935,3804,1022,1716
81.4,1825,5072,23557,24523,19158,14156,882044,4822,3724,14238,16169,3728,1153,1595
81.6,2128,4589,24208,24893,18814,13934,876896,4772,3551,14746,16506,3840,1158,1712
81.8,2026,4781,23471,24348,18834,14017,875601,4927,3811,14686,15900,3826,1152,1466
82,1620,5631,21155,22637,17291,13765,856415,4805,3516,14559,16086,3543,1238,1587
82.2,1389,6287,19777,21812,17109,13478,841171,4562,3310,14903,16050,3489,1069,1663
82.4,1755,5165,22865,23727,18719,13792,873813,4730,3474,14777,16478,2987,1266,1837
82.6,1859,4650,22827,24077,18211,13956,863603,4745,3799,14400,15992,3193,1182,1883
82.8,1637,5218,21657,23239,18236,13699,855863,4684,3596,14291,16236,3115,928,1925
83,1389,6162,19957,21791,17087,13262,839443,4617,3669,14657,16272,3426,1159,1577
83.2,2009,4287,23883,24475,19130,14235,873782,4847,3456,14919,16442,3597,1309,1418
83.4,1428,5799,20655,22926,17200,13733,848442,4738,3435,14554,16400,3343,1350,1412
83.6,1764,4971,22733,24167,17816,13992,866888,4788,3556,14465,16679,3379,1118,1505
83.8,2077,4523,23326,25141,18587,13998,863984,4364,3244,15026,17008,2816,1050,1431
84,1765,5112,22550,24791,17952,13750,855089,4598,3656,13948,17551,3031,993,1517
84.2,1445,6660,18900,21844,16475,12920,797228,4317,3913,14224,16755,4708,1071,1659
84.4,1331,7160,18307,20814,15891,12452,783224,4326,3519,13787,16647,5158,1035,1790
84.6,847,8705,14832,17791,14130,11536,736406,4511,3657,13935,16686,4523,941,1473
84.8,987,7731,18077,20438,15800,12274,781009,4754,3624,14458,16934,4830,1174,1761
85,1831,5465,21920,24175,17693,13523,812590,4853,3262,13391,16659,4365,1193,1521
85.2,1961,4782,22551,24485,18008,14639,814841,4570,3505,14309,16710,5453,1117,1652
85.4,2099,4639,22121,23997,17589,15161,800553,4219,4041,13613,16640,4604,1107,1598
85.6,2038,4615,22831,24661,17842,15443,812595,4322,3842,13357,16528,5297,1128,1534
85.8,2322,4306,23167,25084,18014,15052,808155,4544,3631,13761,17167,5066,1138,1540
86,1871,5112,20993,23110,17177,14474,770818,4707,3679,13129,16584,4852,943,1456
86.2,2367,4416,21911,24421,17322,13669,761181,4485,3810,12613,16570,4835,1128,1407
86.4,2166,4553,22074,23936,17868,14096,806031,4389,3287,13362,16711,5110,1000,1532
86.6,1887,4716,21761,23392,17887,14173,805377,4472,3514,13308,16714,4722,891,1790
86.8,2203,4064,23028,24218,17527,14520,813726,4559,3435,13618,16713,4713,1204,1598
87,2304,3887,23426,24259,17928,14068,811081,4845,3312,13797,16530,5067,1286,1498
87.2,2289,3835,23483,24060,17616,13748,803660,4714,3114,14157,16028,5000,1264,1637
87.4,2216,3890,22689,23500,17673,13658,803808,4582,3445,12894,16109,4800,1240,1759
87.6,2143,3899,22459,23335,17504,13323,808158,4395,3522,13619,15793,4184,1093,1620
87.8,2131,4095,21914,22967,17660,13849,800810,4495,3329,13706,15794,4443,970,1379
88,1728,4910,20231,21541,16596,12749,786268,4353,3548,13267,16165,4572,1154,1608
88.2,1812,4747,20208,21172,16286,12446,771787,4464,3333,13428,15945,4578,890,1600
88.4,1324,5892,17635,19772,15244,12143,751246,4493,3465,13301,15946,4584,909,1521
88.6,1609,5629,18996,20618,15795,12611,767813,4417,4055,13606,16238,4289,958,1832
88.8,2137,4099,22362,23391,17566,13429,809440,4542,3571,13530,15957,4268,1117,1650
89,2188,4028,23143,23790,18271,13549,826708,4939,3471,14176,15790,4280,1170,1731
89.2,1708,5212,21326,22315,17325,13248,819724,4819,3209,14161,15816,4372,1137,1619
89.4,1790,5271,21995,22374,17489,13699,838213,5003,3598,15183,15651,4404,1189,1796
89.6,2089,4539,23736,23181,18261,13900,855329,5145,3621,14550,15634,4114,1229,1878
89.8,2069,4371,23793,23239,18494,13966,860723,5030,3486,14968,15914,4032,1043,1890
90,2177,4272,24018,23554,18407,13920,857102,4962,3678,14212,15667,4122,1013,1628
90.2,2198,4378,23763,23548,18564,14066,852146,4897,3584,14232,15858,4086,1085,1772
90.4,2173,4058,23982,23308,18315,13943,845356,4776,3533,14028,15307,4648,920,1774
90.6,2186,4444,23349,23053,18084,13683,837614,4927,3889,14391,15248,4335,933,1776
90.8,2287,4363,23761,23416,18540,14119,851066,4887,3684,14106,14954,3743,1162,1815
91,2040,4702,23274,22890,18099,13874,846397,4675,3770,13998,15207,4147,1013,1600
91.2,2333,4207,23987,23570,18481,14277,850710,4872,3636,13750,15614,3819,1090,1763
91.4,2314,4137,24355,23959,18384,13774,845090,4865,3656,13607,15869,4500,1214,1793
91.6,2259,4097,24540,24362,18571,13431,844156,4387,4110,13188,15921,4588,1132,1688
91.8,2053,5039,22879,23438,18294,13333,834646,4879,3828,13986,15510,4698,1155,1563
92,2430,3978,25018,24861,19473,13360,852349,4727,3610,13689,15578,4874,1228,1787
92.2,2233,4546,24548,24744,19000,13230,846334,4767,3188,13966,16148,4929,1331,1662
92.4,2073,5395,23024,23798,18496,12777,834475,5252,3420,13882,15820,4890,1137,1832
92.6,2076,5617,22325,23224,18210,12944,825391,4804,3670,13882,16486,4569,1129,1622
92.8,2450,4310,25437,25720,19611,13630,871454,4757,3182,14297,16480,4965,1210,1600
93,2457,4469,24999,26802,20118,14119,884313,4820,3500,14985,16761,4745,1068,1679
93.2,2249,5404,23349,24860,18104,13867,873079,4686,3357,14573,16682,4335,1241,1687
93.4,1861,6226,22362,23723,17983,14412,878965,4666,3738,14890,16634,3817,1246,1736
93.6,2723,4733,26551,27251,20802,15444,928576,4770,3701,14566,16346,4252,1381,1610
93.8,2577,4286,25963,26462,20042,14957,899555,5224,3694,14369,16235,3910,1354,1671
94,1957,5093,22510,23629,18392,14387,837977,5009,3958,13695,16658,3701,1132,1591
94.2,1233,7630,16562,18569,15022,12244,751556,4102,4366,13060,16167,4541,955,1649
94.4,1675,6120,19661,21507,16794,14457,801031,4223,3713,12495,16232,4316,1107,1405
94.6,2341,4645,22685,24693,18396,14688,827916,4536,3732,13243,16442,4767,1265,1624
94.8,2444,4285,24313,26320,19611,14675,873825,4608,3085,13969,17298,4075,1241,1420
95,2450,4219,24514,26756,19801,14707,880810,4442,3154,13427,16632,3590,1128,1443
95.2,2429,4641,24678,27197,20046,14975,888019,4827,3346,14598,17208,3834,1300,1705
95.4,2234,5110,24249,26421,19809,14811,881185,4869,3524,14261,17629,4508,1216,1563
95.6,2613,4658,24968,28020,20656,14787,905638,4971,3031,13924,17428,4979,1359,1638
95.8,2480,4902,25583,28458,20458,15148,919005,4874,3636,13764,18008,4887,1400,1588
96,2780,4064,27415,29522,21667,16205,944735,5233,3401,14114,17502,4386,1337,1587
96.2,2833,4378,26846,28577,20772,15921,931182,4835,3788,14702,17148,3967,1398,1651
96.4,2507,4768,26581,27864,20794,16013,943266,5352,3345,14321,16941,4635,1328,1937
96.6,2774,4247,26993,28413,20985,16012,940159,5018,3561,14105,17267,3773,1313,1696
96.8,2850,4350,26597,28051,20744,16164,927068,4937,3466,14309,16836,4427,1310,1684
97,2744,4807,26309,27865,20926,16354,925188,5057,3742,14151,17266,4943,1213,1696
97.2,2148,5514,22787,24332,18902,14970,862277,4610,3661,13541,16685,4340,1232,1633
97.4,2250,4123,23433,25038,18598,14583,845656,4651,3388,13815,17252,4233,1178,1497
97.6,2536,3681,23853,25367,18774,14289,838581,4725,3875,13796,16945,4108,1206,1528
97.8,2602,3704,24585,25783,19176,14355,847410,4424,2984,14117,16420,4994,1368,1642
98,2654,3565,24667,26072,19236,14417,855221,4685,3370,14030,16953,4515,1270,1448
98.2,2683,3909,25024,26616,20028,14504,870287,4719,3410,14033,16793,4452,1303,1848
98.4,2551,4010,25070,26335,19843,14693,866924,4753,3125,14091,16827,4516,1192,1421
98.6,2748,4233,25362,26688,20069,14892,881322,4890,3409,13776,16549,4671,1089,1570
98.8,2859,4000,25793,27036,20162,15000,881870,4772,3330,14399,16792,4195,1371,1705
99,2676,4181,25642,27116,20255,15193,889321,4962,3485,13819,16455,4179,1200,1768
99.2,2250,5637,22643,24444,18145,14295,853769,4748,3719,13625,16603,4185,1192,1492
99.4,2565,4786,25438,26953,20398,15052,893672,4810,3498,13891,16480,4541,1288,1588
99.6,2864,3917,26385,28063,20977,15416,907458,5009,3276,13639,16141,4273,1359,1656
99.8,3048,3793,26999,28012,20772,15191,915579,4785,3657,14291,16827,4876,1375,1784
100,2814,3755,26580,27364,20898,15280,908837,4727,3087,14226,16690,3691,1358,1568
100.2,2869,3883,26109,27254,20420,14687,895554,5113,3202,13922,16715,4488,1276,1563
100.4,2916,3691,26217,27328,20521,14725,900152,5148,3506,14155,16754,4538,1174,1776
100.6,2794,3988,25748,26992,20128,14652,887463,5072,3359,13741,16639,4576,1358,1541
100.8,2247,5137,23546,25582,19511,14352,873759,4848,3377,14166,16522,4688,1358,1621
101,2708,4133,25765,26854,20345,14567,887248,4833,2964,14389,16967,4082,1199,1502
101.2,2718,4061,25859,27547,20300,14610,895690,4991,3169,14412,16885,5064,1352,1578
101.4,2023,5750,22892,24917,19320,13916,873280,4777,3337,14947,16673,5149,1385,1617
101.6,2769,4039,26474,27587,21177,14312,902608,4824,3636,15015,17560,4903,1231,1583
101.8,3048,3641,26852,28189,21185,14724,909719,4873,3430,14795,17580,4534,1124,1673
103.2,2674,4465,26203,27373,20644,15541,908993,5069,3603,14241,17015,4477,1318,1589
103.4,2869,3710,27646,28173,20874,15779,928109,5094,3332,13853,16788,3903,1284,1695
103.6,2958,3768,28331,28818,20971,15807,945536,5240,3488,14510,16136,4842,1526,1681
103.8,2792,4027,27126,28023,20551,15453,930970,5207,3081,15220,16922,3851,1417,1584
104,2871,4047,27516,28832,20961,16039,951902,5301,3214,14292,16900,4331,1446,1702
104.2,3120,3470,28742,29175,21628,16059,954135,5010,3188,14652,16666,4190,1442,1684
104.4,3038,3502,27944,28230,21195,16490,935614,5026,3000,15129,16712,4179,1348,1593
104.6,2471,4684,26074,26684,20531,16105,918876,4956,3411,14138,15979,4222,1182,1576
104.8,2925,3674,27260,27833,20740,15880,921505,5294,3309,15069,16144,4307,1465,1837
105,2746,3668,26649,27293,20610,15779,914499,5149,3598,14490,15817,4677,1252,1353
105.2,2697,3465,25229,25711,19638,15144,873294,4820,3128,13951,15675,4168,1324,1501
105.4,2648,3791,25517,25735,19569,15251,884001,4884,3516,13995,16306,4800,1386,1607
105.6,2316,4507,23789,24742,18687,14733,861318,4897,3116,13644,15837,4205,1222,1500
105.8,2454,3643,24345,24820,19354,14279,847694,4534,3246,13494,15827,4393,1152,1420
106,2449,3239,22802,23043,18724,14713,798388,4601,2868,13929,16018,5190,1021,1276
106.2,2524,3349,22774,23245,18209,13974,800568,4463,3217,12468,15877,5719,1062,1245
106.4,2633,3479,23638,23744,18844,13841,817430,4584,2659,13088,15902,5487,1255,1359
