"Core","depth_cm","SH20_age","kcps","MSE","param","value"
"ARD1A",12.4,1192.26,12618.46582,1.21,"Si",-2.28563127479604
"ARD1A",12.4,1192.26,12618.46582,1.21,"P",-3.73255025773237
"ARD1A",12.4,1192.26,12618.46582,1.21,"K",-1.89996879398406
"ARD1A",12.4,1192.26,12618.46582,1.21,"Ca",1.60918572918319
"ARD1A",12.4,1192.26,12618.46582,1.21,"Ti",1.00474408118276
"ARD1A",12.4,1192.26,12618.46582,1.21,"V",-1.42996516473832
"ARD1A",12.4,1192.26,12618.46582,1.21,"Mn",0.0879055541702858
"ARD1A",12.4,1192.26,12618.46582,1.21,"Fe",4.36616857098206
"ARD1A",12.4,1192.26,12618.46582,1.21,"Co",-0.427496736623117
"ARD1A",12.4,1192.26,12618.46582,1.21,"Cu",-1.57788529481495
"ARD1A",12.4,1192.26,12618.46582,1.21,"Zn",-0.794711962597281
"ARD1A",12.4,1192.26,12618.46582,1.21,"Br",-1.15803144925468
"ARD1A",12.4,1192.26,12618.46582,1.21,"Sr",1.45063680156204
"ARD1A",12.4,1192.26,12618.46582,1.21,"Zr",0.753273170623156
"ARD1A",12.4,1192.26,12618.46582,1.21,"Os",-2.12311234529827
"ARD1A",12.4,1192.26,12618.46582,1.21,"Mo_inc",3.67613181283651
"ARD1A",12.4,1192.26,12618.46582,1.21,"Mo_coh",2.48130755929912
"ARD1A",12.4,1192.26,12618.46582,1.21,"inc_coh",3.302977233
"ARD1A",12.4,1192.26,12618.46582,1.21,"coh_inc",0.302757158
"ARD1A",12.6,1224.63,13446.62305,1.25,"Si",-2.21895882677628
"ARD1A",12.6,1224.63,13446.62305,1.25,"P",-3.6258724750989
"ARD1A",12.6,1224.63,13446.62305,1.25,"K",-1.70405987762265
"ARD1A",12.6,1224.63,13446.62305,1.25,"Ca",1.4472158336439
"ARD1A",12.6,1224.63,13446.62305,1.25,"Ti",0.859011545014688
"ARD1A",12.6,1224.63,13446.62305,1.25,"V",-2.06772785705235
"ARD1A",12.6,1224.63,13446.62305,1.25,"Mn",-0.181189981497007
"ARD1A",12.6,1224.63,13446.62305,1.25,"Fe",4.2436566503598
"ARD1A",12.6,1224.63,13446.62305,1.25,"Co",-0.917822273996691
"ARD1A",12.6,1224.63,13446.62305,1.25,"Cu",-1.96764439849537
"ARD1A",12.6,1224.63,13446.62305,1.25,"Zn",-1.38339130617456
"ARD1A",12.6,1224.63,13446.62305,1.25,"Br",NA
"ARD1A",12.6,1224.63,13446.62305,1.25,"Sr",1.28309916522085
"ARD1A",12.6,1224.63,13446.62305,1.25,"Zr",0.596083211715845
"ARD1A",12.6,1224.63,13446.62305,1.25,"Os",NA
"ARD1A",12.6,1224.63,13446.62305,1.25,"Mo_inc",3.41583077639297
"ARD1A",12.6,1224.63,13446.62305,1.25,"Mo_coh",2.22176981436574
"ARD1A",12.6,1224.63,13446.62305,1.25,"inc_coh",3.30045706
"ARD1A",12.6,1224.63,13446.62305,1.25,"coh_inc",0.302988338
"ARD1A",12.8,1257,11675.71191,1.12,"Si",-2.8669713612792
"ARD1A",12.8,1257,11675.71191,1.12,"P",-3.60890870600857
"ARD1A",12.8,1257,11675.71191,1.12,"K",-1.73710652910698
"ARD1A",12.8,1257,11675.71191,1.12,"Ca",1.40903316327012
"ARD1A",12.8,1257,11675.71191,1.12,"Ti",0.788006541159059
"ARD1A",12.8,1257,11675.71191,1.12,"V",-1.88614210826747
"ARD1A",12.8,1257,11675.71191,1.12,"Mn",-0.13075028321029
"ARD1A",12.8,1257,11675.71191,1.12,"Fe",4.21469720801931
"ARD1A",12.8,1257,11675.71191,1.12,"Co",-0.874541196588989
"ARD1A",12.8,1257,11675.71191,1.12,"Cu",-1.28652098571835
"ARD1A",12.8,1257,11675.71191,1.12,"Zn",-0.664469726842133
"ARD1A",12.8,1257,11675.71191,1.12,"Br",-1.14080917453695
"ARD1A",12.8,1257,11675.71191,1.12,"Sr",1.30521568770684
"ARD1A",12.8,1257,11675.71191,1.12,"Zr",0.62809215661505
"ARD1A",12.8,1257,11675.71191,1.12,"Os",NA
"ARD1A",12.8,1257,11675.71191,1.12,"Mo_inc",3.49753348385378
"ARD1A",12.8,1257,11675.71191,1.12,"Mo_coh",2.35364183093477
"ARD1A",12.8,1257,11675.71191,1.12,"inc_coh",3.138960371
"ARD1A",12.8,1257,11675.71191,1.12,"coh_inc",0.318576816
"ARD1A",13,1289.37,12100.3916,1.02,"Si",-2.72675542987836
"ARD1A",13,1289.37,12100.3916,1.02,"P",NA
"ARD1A",13,1289.37,12100.3916,1.02,"K",-2.29775982436
"ARD1A",13,1289.37,12100.3916,1.02,"Ca",1.42933357510586
"ARD1A",13,1289.37,12100.3916,1.02,"Ti",0.784790008952657
"ARD1A",13,1289.37,12100.3916,1.02,"V",-3.49401058259203
"ARD1A",13,1289.37,12100.3916,1.02,"Mn",-0.145456934415297
"ARD1A",13,1289.37,12100.3916,1.02,"Fe",4.22409354706504
"ARD1A",13,1289.37,12100.3916,1.02,"Co",-1.1761580174672
"ARD1A",13,1289.37,12100.3916,1.02,"Cu",-1.15368516161514
"ARD1A",13,1289.37,12100.3916,1.02,"Zn",-0.770692909359032
"ARD1A",13,1289.37,12100.3916,1.02,"Br",-1.48424896155018
"ARD1A",13,1289.37,12100.3916,1.02,"Sr",1.06632315145714
"ARD1A",13,1289.37,12100.3916,1.02,"Zr",0.291925776661173
"ARD1A",13,1289.37,12100.3916,1.02,"Os",NA
"ARD1A",13,1289.37,12100.3916,1.02,"Mo_inc",3.30195329040199
"ARD1A",13,1289.37,12100.3916,1.02,"Mo_coh",2.15034847159337
"ARD1A",13,1289.37,12100.3916,1.02,"inc_coh",3.163265306
"ARD1A",13,1289.37,12100.3916,1.02,"coh_inc",0.316129032
"ARD1A",13.2,1321.73,12724.3623,1.11,"Si",-2.48164008814557
"ARD1A",13.2,1321.73,12724.3623,1.11,"P",NA
"ARD1A",13.2,1321.73,12724.3623,1.11,"K",-1.28771761967314
"ARD1A",13.2,1321.73,12724.3623,1.11,"Ca",1.39923618828574
"ARD1A",13.2,1321.73,12724.3623,1.11,"Ti",0.875257034620004
"ARD1A",13.2,1321.73,12724.3623,1.11,"V",-2.48164008814557
"ARD1A",13.2,1321.73,12724.3623,1.11,"Mn",-0.172410452432857
"ARD1A",13.2,1321.73,12724.3623,1.11,"Fe",4.23321790767043
"ARD1A",13.2,1321.73,12724.3623,1.11,"Co",-1.05452373250542
"ARD1A",13.2,1321.73,12724.3623,1.11,"Cu",-2.09864783588947
"ARD1A",13.2,1321.73,12724.3623,1.11,"Zn",-0.984997669856815
"ARD1A",13.2,1321.73,12724.3623,1.11,"Br",-1.08704692421099
"ARD1A",13.2,1321.73,12724.3623,1.11,"Sr",1.33753636691622
"ARD1A",13.2,1321.73,12724.3623,1.11,"Zr",0.776456449875911
"ARD1A",13.2,1321.73,12724.3623,1.11,"Os",-3.11024874756795
"ARD1A",13.2,1321.73,12724.3623,1.11,"Mo_inc",3.65759770325184
"ARD1A",13.2,1321.73,12724.3623,1.11,"Mo_coh",2.47957150780764
"ARD1A",13.2,1321.73,12724.3623,1.11,"inc_coh",3.247957039
"ARD1A",13.2,1321.73,12724.3623,1.11,"coh_inc",0.307885846
"ARD1A",13.4,1354.1,13759.11035,1.13,"Si",-2.91593645170996
"ARD1A",13.4,1354.1,13759.11035,1.13,"P",NA
"ARD1A",13.4,1354.1,13759.11035,1.13,"K",-1.59708337138561
"ARD1A",13.4,1354.1,13759.11035,1.13,"Ca",1.31753973455568
"ARD1A",13.4,1354.1,13759.11035,1.13,"Ti",0.842225686963522
"ARD1A",13.4,1354.1,13759.11035,1.13,"V",-2.00837939980456
"ARD1A",13.4,1354.1,13759.11035,1.13,"Mn",-0.202105887692254
"ARD1A",13.4,1354.1,13759.11035,1.13,"Fe",4.181684320654
"ARD1A",13.4,1354.1,13759.11035,1.13,"Co",-0.892375368424585
"ARD1A",13.4,1354.1,13759.11035,1.13,"Cu",-1.03415083082419
"ARD1A",13.4,1354.1,13759.11035,1.13,"Zn",-0.886644693715599
"ARD1A",13.4,1354.1,13759.11035,1.13,"Br",-1.054218393875
"ARD1A",13.4,1354.1,13759.11035,1.13,"Sr",1.3306936980984
"ARD1A",13.4,1354.1,13759.11035,1.13,"Zr",0.671199127216335
"ARD1A",13.4,1354.1,13759.11035,1.13,"Os",-3.65353539484074
"ARD1A",13.4,1354.1,13759.11035,1.13,"Mo_inc",3.54335544522116
"ARD1A",13.4,1354.1,13759.11035,1.13,"Mo_coh",2.35773177956342
"ARD1A",13.4,1354.1,13759.11035,1.13,"inc_coh",3.272727273
"ARD1A",13.4,1354.1,13759.11035,1.13,"coh_inc",0.305555556
"ARD1A",13.6,1386.47,13456.82324,2.33,"Si",-2.15655186878132
"ARD1A",13.6,1386.47,13456.82324,2.33,"P",-2.79254063550132
"ARD1A",13.6,1386.47,13456.82324,2.33,"K",-1.94524277511412
"ARD1A",13.6,1386.47,13456.82324,2.33,"Ca",1.61958403032984
"ARD1A",13.6,1386.47,13456.82324,2.33,"Ti",1.13382348719748
"ARD1A",13.6,1386.47,13456.82324,2.33,"V",-2.12756433190807
"ARD1A",13.6,1386.47,13456.82324,2.33,"Mn",0.0471873895760897
"ARD1A",13.6,1386.47,13456.82324,2.33,"Fe",4.44838779330112
"ARD1A",13.6,1386.47,13456.82324,2.33,"Co",-1.60537494949176
"ARD1A",13.6,1386.47,13456.82324,2.33,"Cu",-1.27619314613323
"ARD1A",13.6,1386.47,13456.82324,2.33,"Zn",-0.770257507661432
"ARD1A",13.6,1386.47,13456.82324,2.33,"Br",-1.32620356670789
"ARD1A",13.6,1386.47,13456.82324,2.33,"Sr",1.62830599102214
"ARD1A",13.6,1386.47,13456.82324,2.33,"Zr",1.07401999585007
"ARD1A",13.6,1386.47,13456.82324,2.33,"Os",-2.59186994003917
"ARD1A",13.6,1386.47,13456.82324,2.33,"Mo_inc",3.90360158205146
"ARD1A",13.6,1386.47,13456.82324,2.33,"Mo_coh",2.7368884520101
"ARD1A",13.6,1386.47,13456.82324,2.33,"inc_coh",3.211419753
"ARD1A",13.6,1386.47,13456.82324,2.33,"coh_inc",0.311388755
"ARD1A",13.8,1418.84,14416.07617,1.52,"Si",-2.02755174721152
"ARD1A",13.8,1418.84,14416.07617,1.52,"P",-2.59286555626159
"ARD1A",13.8,1418.84,14416.07617,1.52,"K",-1.73420393722407
"ARD1A",13.8,1418.84,14416.07617,1.52,"Ca",1.48467188764413
"ARD1A",13.8,1418.84,14416.07617,1.52,"Ti",1.1580492887718
"ARD1A",13.8,1418.84,14416.07617,1.52,"V",-1.54906150408847
"ARD1A",13.8,1418.84,14416.07617,1.52,"Mn",0.249715537798231
"ARD1A",13.8,1418.84,14416.07617,1.52,"Fe",4.39904703072728
"ARD1A",13.8,1418.84,14416.07617,1.52,"Co",-0.220754400618929
"ARD1A",13.8,1418.84,14416.07617,1.52,"Cu",-1.20657119514169
"ARD1A",13.8,1418.84,14416.07617,1.52,"Zn",-1.09324250983469
"ARD1A",13.8,1418.84,14416.07617,1.52,"Br",-1.73420393722407
"ARD1A",13.8,1418.84,14416.07617,1.52,"Sr",1.51208918507253
"ARD1A",13.8,1418.84,14416.07617,1.52,"Zr",0.892672973834321
"ARD1A",13.8,1418.84,14416.07617,1.52,"Os",-4.01998191190173
"ARD1A",13.8,1418.84,14416.07617,1.52,"Mo_inc",3.84309248592204
"ARD1A",13.8,1418.84,14416.07617,1.52,"Mo_coh",2.63909830973643
"ARD1A",13.8,1418.84,14416.07617,1.52,"inc_coh",3.333404574
"ARD1A",13.8,1418.84,14416.07617,1.52,"coh_inc",0.299993589
"ARD1A",14,1451.21,14892.75098,1.09,"Si",-2.36571597363451
"ARD1A",14,1451.21,14892.75098,1.09,"P",-2.66198178977768
"ARD1A",14,1451.21,14892.75098,1.09,"K",-1.47540072816361
"ARD1A",14,1451.21,14892.75098,1.09,"Ca",1.39309608122267
"ARD1A",14,1451.21,14892.75098,1.09,"Ti",1.082234496732
"ARD1A",14,1451.21,14892.75098,1.09,"V",-2.07803390118273
"ARD1A",14,1451.21,14892.75098,1.09,"Mn",-0.0204644343215588
"ARD1A",14,1451.21,14892.75098,1.09,"Fe",4.29843136936258
"ARD1A",14,1451.21,14892.75098,1.09,"Co",-0.653999212079988
"ARD1A",14,1451.21,14892.75098,1.09,"Cu",-1.14647569717778
"ARD1A",14,1451.21,14892.75098,1.09,"Zn",-0.841891813923398
"ARD1A",14,1451.21,14892.75098,1.09,"Br",-0.663301604742302
"ARD1A",14,1451.21,14892.75098,1.09,"Sr",1.3682839157599
"ARD1A",14,1451.21,14892.75098,1.09,"Zr",0.552747519128673
"ARD1A",14,1451.21,14892.75098,1.09,"Os",-2.893783403835
"ARD1A",14,1451.21,14892.75098,1.09,"Mo_inc",3.64529978656343
"ARD1A",14,1451.21,14892.75098,1.09,"Mo_coh",2.4609553900693
"ARD1A",14,1451.21,14892.75098,1.09,"inc_coh",3.26854325
"ARD1A",14,1451.21,14892.75098,1.09,"coh_inc",0.305946693
"ARD1A",14.2,1483.58,12453.07324,1.23,"Si",-3.4200779948991
"ARD1A",14.2,1483.58,12453.07324,1.23,"P",-3.70776006735088
"ARD1A",14.2,1483.58,12453.07324,1.23,"K",-1.71532990266068
"ARD1A",14.2,1483.58,12453.07324,1.23,"Ca",1.50898564550334
"ARD1A",14.2,1483.58,12453.07324,1.23,"Ti",1.22551410558791
"ARD1A",14.2,1483.58,12453.07324,1.23,"V",-2.36402532064979
"ARD1A",14.2,1483.58,12453.07324,1.23,"Mn",0.187455819760884
"ARD1A",14.2,1483.58,12453.07324,1.23,"Fe",4.42817270465401
"ARD1A",14.2,1483.58,12453.07324,1.23,"Co",-0.0527821649126263
"ARD1A",14.2,1483.58,12453.07324,1.23,"Cu",-0.772131717866595
"ARD1A",14.2,1483.58,12453.07324,1.23,"Zn",-0.357855980076276
"ARD1A",14.2,1483.58,12453.07324,1.23,"Br",-2.72693081433916
"ARD1A",14.2,1483.58,12453.07324,1.23,"Sr",1.7201225035518
"ARD1A",14.2,1483.58,12453.07324,1.23,"Zr",1.18007964926545
"ARD1A",14.2,1483.58,12453.07324,1.23,"Os",-2.13222370659246
"ARD1A",14.2,1483.58,12453.07324,1.23,"Mo_inc",4.09540273258899
"ARD1A",14.2,1483.58,12453.07324,1.23,"Mo_coh",2.90338450843517
"ARD1A",14.2,1483.58,12453.07324,1.23,"inc_coh",3.293721973
"ARD1A",14.2,1483.58,12453.07324,1.23,"coh_inc",0.303607897
"ARD1A",14.4,1515.95,12356.47852,1.17,"Si",-3.2967896043265
"ARD1A",14.4,1515.95,12356.47852,1.17,"P",NA
"ARD1A",14.4,1515.95,12356.47852,1.17,"K",-1.96555502038964
"ARD1A",14.4,1515.95,12356.47852,1.17,"Ca",1.00727548887767
"ARD1A",14.4,1515.95,12356.47852,1.17,"Ti",0.763653406219919
"ARD1A",14.4,1515.95,12356.47852,1.17,"V",-2.06464592303387
"ARD1A",14.4,1515.95,12356.47852,1.17,"Mn",-0.442785490601211
"ARD1A",14.4,1515.95,12356.47852,1.17,"Fe",4.02590952671834
"ARD1A",14.4,1515.95,12356.47852,1.17,"Co",-1.01586600811363
"ARD1A",14.4,1515.95,12356.47852,1.17,"Cu",-1.89279566610721
"ARD1A",14.4,1515.95,12356.47852,1.17,"Zn",-0.980019876340498
"ARD1A",14.4,1515.95,12356.47852,1.17,"Br",-2.4094864093256
"ARD1A",14.4,1515.95,12356.47852,1.17,"Sr",1.34140079268972
"ARD1A",14.4,1515.95,12356.47852,1.17,"Zr",0.792781679142943
"ARD1A",14.4,1515.95,12356.47852,1.17,"Os",NA
"ARD1A",14.4,1515.95,12356.47852,1.17,"Mo_inc",3.64681532754933
"ARD1A",14.4,1515.95,12356.47852,1.17,"Mo_coh",2.49010777704021
"ARD1A",14.4,1515.95,12356.47852,1.17,"inc_coh",3.179447853
"ARD1A",14.4,1515.95,12356.47852,1.17,"coh_inc",0.314520019
"ARD1A",15,1613.05,11849.40625,1.19,"Si",-2.66357718174912
"ARD1A",15,1613.05,11849.40625,1.19,"P",-3.04306680345402
"ARD1A",15,1613.05,11849.40625,1.19,"K",-2.47252194498641
"ARD1A",15,1613.05,11849.40625,1.19,"Ca",1.59687634928911
"ARD1A",15,1613.05,11849.40625,1.19,"Ti",0.138187029624592
"ARD1A",15,1613.05,11849.40625,1.19,"V",-3.21012088811719
"ARD1A",15,1613.05,11849.40625,1.19,"Mn",-0.232737753231396
"ARD1A",15,1613.05,11849.40625,1.19,"Fe",3.66501728039905
"ARD1A",15,1613.05,11849.40625,1.19,"Co",-1.33135004189951
"ARD1A",15,1613.05,11849.40625,1.19,"Cu",0.226794576147044
"ARD1A",15,1613.05,11849.40625,1.19,"Zn",0.676118000155241
"ARD1A",15,1613.05,11849.40625,1.19,"Br",-0.237378132787899
"ARD1A",15,1613.05,11849.40625,1.19,"Sr",2.20436204507305
"ARD1A",15,1613.05,11849.40625,1.19,"Zr",0.972622976369388
"ARD1A",15,1613.05,11849.40625,1.19,"Os",-3.12310951112756
"ARD1A",15,1613.05,11849.40625,1.19,"Mo_inc",4.04777896738494
"ARD1A",15,1613.05,11849.40625,1.19,"Mo_coh",2.78610503291068
"ARD1A",15,1613.05,11849.40625,1.19,"inc_coh",3.531327754
"ARD1A",15,1613.05,11849.40625,1.19,"coh_inc",0.283179605
"ARD1A",15.2,1629.66,13940.2998,1.1,"Si",-2.68604963104569
"ARD1A",15.2,1629.66,13940.2998,1.1,"P",-2.53189895121843
"ARD1A",15.2,1629.66,13940.2998,1.1,"K",-1.94411228631631
"ARD1A",15.2,1629.66,13940.2998,1.1,"Ca",1.70881096160828
"ARD1A",15.2,1629.66,13940.2998,1.1,"Ti",-0.312695467163434
"ARD1A",15.2,1629.66,13940.2998,1.1,"V",-2.47632910006362
"ARD1A",15.2,1629.66,13940.2998,1.1,"Mn",-0.273116480882776
"ARD1A",15.2,1629.66,13940.2998,1.1,"Fe",3.43182727841673
"ARD1A",15.2,1629.66,13940.2998,1.1,"Co",-2.21604600179995
"ARD1A",15.2,1629.66,13940.2998,1.1,"Cu",0.519403173490373
"ARD1A",15.2,1629.66,13940.2998,1.1,"Zn",0.800305558956775
"ARD1A",15.2,1629.66,13940.2998,1.1,"Br",-0.306503496915513
"ARD1A",15.2,1629.66,13940.2998,1.1,"Sr",2.09670870459711
"ARD1A",15.2,1629.66,13940.2998,1.1,"Zr",0.612253327453836
"ARD1A",15.2,1629.66,13940.2998,1.1,"Os",-2.50372807425173
"ARD1A",15.2,1629.66,13940.2998,1.1,"Mo_inc",3.68664425165721
"ARD1A",15.2,1629.66,13940.2998,1.1,"Mo_coh",2.39452623347713
"ARD1A",15.2,1629.66,13940.2998,1.1,"inc_coh",3.640489018
"ARD1A",15.2,1629.66,13940.2998,1.1,"coh_inc",0.274688372
"ARD1A",15.4,1646.26,10691.76172,0.97,"Si",-3.12056885740796
"ARD1A",15.4,1646.26,10691.76172,0.97,"P",-3.05157598592101
"ARD1A",15.4,1646.26,10691.76172,0.97,"K",-3.36173091422484
"ARD1A",15.4,1646.26,10691.76172,0.97,"Ca",1.3965504504574
"ARD1A",15.4,1646.26,10691.76172,0.97,"Ti",-0.583476454449387
"ARD1A",15.4,1646.26,10691.76172,0.97,"V",NA
"ARD1A",15.4,1646.26,10691.76172,0.97,"Mn",-0.550140034181794
"ARD1A",15.4,1646.26,10691.76172,0.97,"Fe",3.27254399928149
"ARD1A",15.4,1646.26,10691.76172,0.97,"Co",-2.07074673290928
"ARD1A",15.4,1646.26,10691.76172,0.97,"Cu",0.221788024231265
"ARD1A",15.4,1646.26,10691.76172,0.97,"Zn",0.638968747511992
"ARD1A",15.4,1646.26,10691.76172,0.97,"Br",-0.0760464196845341
"ARD1A",15.4,1646.26,10691.76172,0.97,"Sr",2.22176539455685
"ARD1A",15.4,1646.26,10691.76172,0.97,"Zr",0.640631258285605
"ARD1A",15.4,1646.26,10691.76172,0.97,"Os",-1.90947858531316
"ARD1A",15.4,1646.26,10691.76172,0.97,"Mo_inc",3.80235648636362
"ARD1A",15.4,1646.26,10691.76172,0.97,"Mo_coh",2.52915962340371
"ARD1A",15.4,1646.26,10691.76172,0.97,"inc_coh",3.572254335
"ARD1A",15.4,1646.26,10691.76172,0.97,"coh_inc",0.279935275
"ARD1A",15.6,1662.86,11732.21094,1.1,"Si",-2.77668052686324
