"Record","Section","Strat_Depth_cm","SH20_95CI_min_age","SH20_95CI_max_age","SH20_median_age","SH20_mean_age","Type","Group","Guano_Zone","Guano_Sum","Si","Ti","Al","Fe","Mn","Mg","Ca","Na","K","P","S","Cl","Location","Location1","Location2","Reference"
"YAN","YAN 8A-I",97,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.2500393498,0.971520240553,8.71130684354,7.36878836748,0.133980010717,2.8161357164,5.08886978936,2.83386907808,0.63920971653,0.11128499523,0.058559353749,0.03,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",99,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.3622214902,0.952341555977,8.77481576342,7.2288746643,0.129333305143,2.7256816784,5.1460481016,2.84128758352,0.62260686675,0.1091029365,0.062563412125,0.01,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",101,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",23.9976295339,0.935560206973,8.66367515363,7.1511448292,0.130107756072,2.7196514092,5.02454418809,3.10093527392,0.6641139912,0.107357289516,0.065566455907,0.23,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",103,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.11448593015,0.92896753415,8.72189166352,7.0734149941,0.128558854214,2.683469794,5.10316436742,2.86354309984,0.62260686675,0.105611642532,0.063564426719,0.05,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",105,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.4370095838,0.937358208652,8.82244745333,7.08118797761,0.127784403285,2.7075908708,5.2889938822,3.25672388816,0.63090829164,0.106048054278,0.062563412125,0.22,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",107,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.36689574605,0.935560206973,8.82244745333,7.04232306006,0.127784403285,2.683469794,5.31043574929,2.91547263792,0.61430544186,0.105611642532,0.05505580267,0.04,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",109,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.47907788645,0.938556876438,8.84890950328,7.04232306006,0.127009952356,2.6895000632,5.41049779571,2.91547263792,0.60600401697,0.10473881904,0.053053773482,0.05,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",111,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.5678887476,0.930166201936,8.88595637321,6.96459322496,0.126235501427,2.6593487172,5.65350562273,2.98965769232,0.5810997423,0.104302407294,0.053053773482,0.07,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",113,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.5678887476,0.927169532471,8.90183360318,6.89463637337,0.124686599569,2.6593487172,5.75356766915,2.99707619776,0.57279831741,0.102993172056,0.051051744294,0.04,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",115,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.6239798178,0.918778857969,8.96005011307,6.87909040635,0.123137697711,2.6774395248,5.83218784848,2.90805413248,0.56449689252,0.10255676031,0.053053773482,0.05,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",117,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.58191151515,0.921775527434,8.95475770308,6.89463637337,0.12391214864,2.6955303324,5.83218784848,2.95256516512,0.56449689252,0.102993172056,0.054054788076,0.03,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",119,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.49777490985,0.919378191862,8.91241842316,6.89463637337,0.124686599569,2.683469794,5.92510260587,2.95998367056,0.56449689252,0.103429583802,0.052553266185,0.07,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",121,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.5211461891,0.928368200257,8.90712601317,6.92572830741,0.124686599569,2.683469794,5.79645140333,3.13060929568,0.58940116719,0.10473881904,0.064064934016,0.19,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",123,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.493100654,0.923573529113,8.86478673325,6.85577145582,0.124686599569,2.6412579096,5.68924206788,2.95998367056,0.5810997423,0.10255676031,0.055556309967,0.06,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",125,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.9418292156,0.927768866364,9.16645410268,6.88686338986,0.126235501427,2.834226524,5.72497851303,3.21221285552,0.56449689252,0.104302407294,0.053554280779,0.07,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",127,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.59126002685,0.916381522397,8.91771083315,6.85577145582,0.12391214864,2.653318448,5.717831224,2.94514665968,0.57279831741,0.102120348564,0.053053773482,0.06,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",129,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.63800258535,0.906792180109,9.01297421297,6.7624956537,0.122363246782,2.6352276404,5.83218784848,2.98223918688,0.56449689252,0.099065466342,0.053554280779,0.05,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-II",131,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.76888174915,0.900199507286,9.12411482276,6.71585775264,0.120814344924,2.653318448,6.0037227852,2.93772815424,0.53959261785,0.099065466342,0.038539061869,0.07,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
