depth	min	max	median	mean
219	4484.25	4903.09	4711.61	4705.65
220	4492.25	4915.42	4721.87	4716
221	4507.28	4921.22	4731.32	4725.94
222	4522	4929.37	4741.43	4735.89
223	4536.27	4938.31	4751.28	4745.84
224	4548.4	4948.19	4760.14	4755.79
225	4557.8	4957.42	4770.66	4765.73
226	4573.3	4963.77	4780.6	4775.64
227	4588.77	4971.49	4790.13	4785.54
228	4597.28	4980.02	4800.43	4795.44
229	4606.56	4988.07	4810.19	4805.34
230	4613.47	5001.05	4820.03	4815.24
231	4631.7	5006.61	4829.06	4825.53
232	4643.53	5013.84	4839.05	4835.81
233	4653.99	5023.45	4848.85	4846.09
234	4666.04	5033.12	4859	4856.38
235	4676.49	5043.56	4869.2	4866.66
236	4693.06	5050.85	4878.76	4876.58
237	4709.02	5057.49	4888.71	4886.5
238	4720.91	5067.27	4898.56	4896.43
239	4731.47	5075.34	4907.87	4906.35
240	4740.07	5086.53	4916.94	4916.27
241	4760.87	5096	4926.38	4926.48
242	4779.24	5102.08	4935.84	4936.69
243	4791.98	5111.53	4945.33	4946.89
244	4803.27	5124.42	4955.25	4957.1
245	4811.94	5132.94	4965.32	4967.31
246	4833.24	5142.66	4974.01	4977.21
247	4848.43	5150.86	4982.21	4987.1
248	4859.71	5159.14	4991.54	4997
249	4870.6	5167.9	5000.61	5006.89
250	4879.82	5181.53	5010.92	5016.79
251	4891.76	5188.32	5018.17	5025.27
252	4901.38	5196.48	5026.71	5033.76
253	4912.37	5206.43	5035.23	5042.25
254	4919.46	5216.75	5043.75	5050.73
255	4925.74	5229.01	5052.51	5059.22
256	4934.07	5235.93	5060.22	5066.99
257	4942.19	5243.57	5068.16	5074.76
258	4947.95	5254.21	5075.98	5082.53
259	4954.82	5266.39	5083.88	5090.3
260	4961.36	5275.51	5091.48	5098.07
261	4970.37	5284.4	5099.45	5105.89
262	4980.34	5294.48	5107.56	5113.71
263	4988.58	5304.22	5115.58	5121.53
264	4995.61	5315.42	5123.7	5129.35
265	5001.41	5326.88	5132.07	5137.17
266	5012.87	5335.57	5139.28	5144.76
267	5021.17	5341.31	5146.51	5152.36
