"Core","depth_cm","Group","Guano_Zone","Guano_sum","SH20_age","kcps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Sn","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","cps_sum"
"YAN 9B-1_200um",244.32,"Unit 4","YAN BRACKISH-MARINE",0,6772.89,26404.97656,1.31,0,0,0.00610211706102117,0,0.00601909506019095,0.00045662100456621,0.00797011207970112,0.025280199252802,0.106309672063097,0,0.0626816106268161,0.00610211706102117,0.00199252801992528,0.0331257783312578,3.37974263179743,0.00780406807804068,0,0.0145703611457036,0.0102947281029473,0.00423412204234122,0.00527189705271897,0.00817766708177667,0.00514736405147364,0.0123287671232877,0.0742631797426318,0,0.0291822332918223,0,0,0.00049813200498132,0.0162723121627231,0.036612702366127,0.00630967206309672,0.0103777501037775,0.00626816106268161,0.00473225404732254,0,0,0.00033208800332088,0.769364881693649,0.230635118306351,24090,3.33585313174946,0.299773389446423,117763
"YAN 9B-1_200um",244.34,"Unit 4","YAN BRACKISH-MARINE",0,6773.33,26231.88477,1.46,0.000290649393788407,0.000747384155455904,0.00506560372031224,0.000415213419697725,0.0052732104301611,0,0.00689254276698223,0.0246636771300448,0.105215080551403,0,0.0574240159441953,0.00141172562697226,0.00215910978242817,0.0301860156120246,3.34404583956153,0.0198472014615512,0,0.0149892044510879,0.0104218568344129,0.00236671649227703,0.00290649393788407,0,0,0.00901013120744062,0.0721225710014948,0,0.0371616010629464,0,0,0.000913469523334994,0.020802192326856,0.0365387809333998,0.00710014947683109,0.0139511709018435,0.0057299451918286,0.00589603055970769,0.00128716160106295,0,0,0.762331838565022,0.237668161434978,24084,3.20754716981132,0.311764705882353,116683
"YAN 9B-1_200um",244.36,"Unit 4","YAN BRACKISH-MARINE",0,6773.78,26044.79297,1.25,0,0.000726247436773753,0.00546821599453178,0.000170881749829118,0.00525461380724539,0,0.00777511961722488,0.0236244019138756,0.10082023239918,0,0.0646787423103213,0.00286226930963773,0.00145249487354751,0.0310577580314422,3.33873034859877,0.0143967874231032,0,0.0163619275461381,0.00888585099111415,0,0.00098257006151743,0.00457108680792891,0,0.0160628844839371,0.0861671223513329,0,0.0252050580997949,0,0,0,0.019865003417635,0.0405416951469583,0.00760423786739576,0.00948393711551606,0.000640806561859193,0.00559637730690362,0.00119617224880383,0,0.00341763499658236,0.765464798359535,0.234535201640465,23408,3.26375227686703,0.306395803103025,113379
"YAN 9B-1_200um",244.38,"Unit 4","YAN BRACKISH-MARINE",0,6774.22,25227.43164,1.43,0.00136009561884351,0.000618225281292503,0.00556402753163253,0.00119523554383217,0.00531673741911553,0,0.00680047809421753,0.0224621852202943,0.097061369162923,0,0.0555990602975724,0.00230804105015868,0.00185467584387751,0.026501257058072,2.9549107694844,0.0155380620698182,0,0.0150434818447842,0.00733627333800437,0,0.000247290112517001,0,0.00304991138770968,0.00816057371306104,0.0725796480237399,0,0.0342908956023575,0,0,0,0.0197832090013601,0.041833244034126,0.00919094918188188,0.0126117957383671,0.00375056670650785,0.00441000700655319,0.00358570663149652,0,0.000947945431315171,0.766187198615175,0.233812801384825,24263,3.27692578882426,0.305164066702528,107580
"YAN 9B-1_200um",244.4,"Unit 4","YAN BRACKISH-MARINE",0,6774.66,25290.77344,1.31,0.000254366627098525,0.000763099881295574,0.00529930473121926,0.000466338816347295,0.00500254366627099,0,0.00686789893166017,0.0226810242496184,0.103230456164151,0,0.0545616415126335,0.00500254366627099,0.00250127183313549,0.0285314566728845,3.19984738002374,0.0182296082753943,0,0.0141597422418179,0.00580803798541631,0.00228929964388672,0,0.000423944378497541,0.00406986603357639,0.00797015431575377,0.0757164659996609,0,0.0283194844836357,0,0,0,0.0167034085128031,0.0359080888587417,0.00716465999660845,0.012760725792776,0.0056384602340173,0.00483296591487197,0.00186535526538918,0.0020349330167882,0.0015685942004409,0.754324232660675,0.245675767339325,23588,3.07040552200173,0.325689878041927,110403
"YAN 9B-1_200um",244.42,"Unit 4","YAN BRACKISH-MARINE",0,6775.11,26091.99023,1.34,0,0.000480265455815578,0.00550122249388753,0,0.00764058679706601,0,0.00790254977296542,0.0262399580859239,0.115263709395739,0,0.0702497380370241,0.00480265455815578,0.00244498777506112,0.0302567237163814,3.67900803353126,0.0138403772266853,0,0.0152375130981488,0.00895040167656305,0,0,0,0.00183374083129584,0.018075445337059,0.088106880894167,0,0.0320031435557108,0,0,0,0.0170712539294446,0.0357142857142857,0.00576318546978694,0.0120939573873559,0.00488997555012225,0.00654907439748516,0.00358016067062522,0.00519559902200489,0.00414774711840727,0.763709395738736,0.236290604261264,22904,3.23207686622321,0.30939858220901,119624
"YAN 9B-1_200um",244.44,"Unit 4","YAN BRACKISH-MARINE",0,6775.55,26437.16992,1.37,0.00102408833875061,0.000667883699185182,0.00610000445255799,0,0.00667883699185182,0,0.00761387417071107,0.0295649850839307,0.134422725856004,0,0.0708847232735206,0.00516496727369874,0.00213722783739258,0.0344627988779554,3.96308829422503,0.0127788414444098,0,0.0168751947994123,0.0106416136070172,0,0,0.00311679059619752,0,0.0134912507235407,0.0939489736853823,0,0.0305890734226813,0,0,0.000890511598913576,0.0145153390622913,0.036733603455185,0.0081927067100049,0.0117547531056592,0.00485328821407899,0.00730219511109132,0.00765839975065675,0.00106861391869629,0.00289416269646912,0.757380114875996,0.242619885124004,22459,3.12167370159662,0.320340975896531,124403
"YAN 9B-1_200um",244.46,"Unit 4","YAN BRACKISH-MARINE",0,6775.99,26632.5625,1.31,0.000533974102256041,0,0.00631869354336315,0.000667467627820051,0.00600720865038046,0.000489476260401371,0.0092110532639167,0.0331508921817292,0.123881991723401,0,0.0781382102968006,0.00729764606416589,0.00262537266942553,0.0379566591020336,4.03991456414364,0.0149512748631691,0,0.0153517554398612,0.0124148978774529,0,0,0.0017799136741868,0,0.0200685266764562,0.0920660347973123,0.00186890935789614,0.0355537756418814,0,0,0,0.0162862101188092,0.0380456547857429,0.00614070217594447,0.00961153384060873,0.0040048057669203,0.004449784185467,0.00338183598095492,0.00106794820451208,0,0.752458505762471,0.247541494237529,22473,3.03972676613338,0.328976936723832,126371
"YAN 9B-1_200um",244.48,"Unit 4","YAN BRACKISH-MARINE",0,6776.43,26687.95898,1.47,0.000542986425339367,0.000678733031674208,0.0065158371040724,0.00108597285067873,0.00583710407239819,0.000588235294117647,0.0085972850678733,0.0313122171945701,0.121945701357466,0,0.0785972850678733,0.0051131221719457,0.00212669683257919,0.0352941176470588,4.16497737556561,0.01,0,0.0168778280542986,0.00796380090497738,0.00334841628959276,0,0,0,0.0132579185520362,0.0920361990950226,0,0.032262443438914,0,0,0.000950226244343891,0.0170135746606335,0.0383710407239819,0.00389140271493213,0.0105882352941176,0.00407239819004525,0.00710407239819005,0.00457013574660634,0,0,0.745113122171946,0.254886877828054,22100,2.9233090715427,0.34207809558511,126534
"YAN 9B-1_200um",244.5,"Unit 4","YAN BRACKISH-MARINE",0,6776.88,26780.65234,1.43,0.000943523385901065,0.000898593700858157,0.00584085905557802,0.000314507795300355,0.00548142157523476,0,0.00790762456755178,0.0332479669317518,0.118075212292762,0,0.0805589252819338,0.00597564811070674,0.00220155456710248,0.0371568495304848,4.15896122568181,0.0161746866154468,0,0.0196792020487936,0.00912072606371029,0.00107831244102979,0,0,0,0.0143325695286876,0.0939030417396774,0.00278564047266029,0.0424585523655479,0,0,0,0.0142876398436447,0.0374713573257851,0.0079974839376376,0.0138832726782585,0.00781776519746597,0.00498719503976277,0.00525677315002022,0,0.00494226535471986,0.75571730242171,0.24428269757829,22257,3.09361780393599,0.323246135552913,128061
