"Core","depth_cm","Group","Guano_Zone","Guano_sum","SH20_age","kcps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Sn","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","cps_sum","TSN_sum","TSN_pc_sum","TSN_pc_sum1"
"YAN 8A-I_200um",1.78,"Unit 8","YAN FW",1,224.19,27886.10156,1.32,0.0121760659131035,0,0.0723799473723373,0.00608803295655174,0.0297637166764752,0,0.0974085273048278,0.553334550939925,1.70329633162192,0,1.85076201879173,0.106878800792797,0.0804973246477397,0.622332257780844,77.6149792668655,0.115672626174483,0,0.356488152011418,0.182640988696552,0.0331459572078928,0,0.0351753015267434,0,0.265844105769426,1.63226928046215,0.0324695091016093,0.495160013799541,0,0,0.025705028038774,0.218492738329579,0.529658867220001,0.107555248899081,0.171141370889732,0.123113555343602,0.121084211024751,0.104173008367663,0,0.0399104382707281,9.17940080226746,3.48100195493503,18716,2.63699961134862,0.379218865143699,147831,7.89864287240863,100,98.561194877935
"YAN 8A-I_200um",1.8,"Unit 8","YAN FW",1,227.34,27559.31836,1.43,0.00682170119584422,0.0150077426308573,0.0804960741109618,0,0.0245581243050392,0.00886821155459749,0.0934573063830658,0.560743838298395,1.64334781807887,0,1.89233991172719,0.0955038167418191,0.0900464557851437,0.623503489300162,77.5873007210538,0.189643293244469,0,0.314480425128419,0.213519247429924,0.0668526717192734,0,0.0341085059792211,0,0.295379661780055,1.60514629138215,0,0.449550108806134,0,0,0.00955038167418191,0.203286695636158,0.543689585308784,0.0688991820780266,0.130294492840625,0.030697655381299,0.162356488461092,0.079131733871793,0,0.00341085059792211,9.31776166340362,3.5602458541111,18878,2.61716803985438,0.382092393293799,146591,7.76517639580464,100,98.71956668554
"YAN 8A-I_200um",1.82,"Unit 8","YAN FW",1,230.49,27175.83008,1.34,0.0173847737197853,0.00834469138549693,0.0764930043670552,0,0.0264248560540736,0,0.0938777780868404,0.562571277572251,1.66615671330422,0,1.79202247503546,0.144641317348613,0.0479819754666073,0.597340825011822,77.0284553976246,0.0827515229061779,0,0.369252593808239,0.143945926399822,0.0973547328307975,0,0.0125170370782454,0,0.232260576896331,1.68562765987038,0.0514589302105644,0.399849795555061,0,0,0.0500681483129816,0.139078189758282,0.577869878445662,0.0764930043670552,0.17732469194181,0.116130288448166,0.136992016911908,0.119607243192123,0.111262551806626,0.0917916052404662,9.66106645155907,3.60560206948346,19078,2.6794599807136,0.373209529979126,143804,7.53768738861516,100,98.3206308586687
"YAN 8A-I_200um",1.84,"Unit 8","YAN FW",1,233.64,27002.74609,1.32,0,0.0120817579668533,0.0845723057679734,0.00284276658043608,0.0262955908690337,0.0035534582255451,0.106603746766353,0.525201125735566,1.70423856497143,0.0127924496119624,1.87267248486227,0.0938112971543906,0.0916792222190636,0.608352048213321,76.923131591665,0.0596980981891577,0,0.302043949171334,0.164169770020184,0.0447735736418683,0.0397987321261051,0.0106603746766353,0.0760440060266651,0.287830116269153,1.65022599994314,0.0490377235125224,0.465503027546408,0,0,0.00923899138641726,0.225289251499559,0.50743383460784,0.115132046507661,0.125081729539188,0.102339596895699,0.100207521960372,0.0206100577081616,0,0,9.89211700827245,3.68493617989027,19104,2.68447444551591,0.37251239313169,140708,7.36536850921273,100,98.5942519259744
"YAN 8A-I_200um",1.86,"Unit 8","YAN FW",1,236.78,27011.54492,1.29,0,0.00356275072858252,0.0712550145716505,0,0.0384777078686913,0.00712550145716505,0.106169971711759,0.525149457393064,1.64171553573083,0,1.69159404593098,0.108307622148909,0.0733926650088,0.626331578084808,76.919075679951,0.161748883077647,0,0.297845960909499,0.173862235554827,0,0.0142510029143301,0,0.0427530087429903,0.320647565572427,1.71867095146821,0,0.442493640489949,0,0,0.0448906591801398,0.228016046629282,0.487384299670089,0.0983319201088777,0.153198281329049,0.107595072003192,0.107595072003192,0.071967564717367,0.0263643553915107,0.080518166465965,9.90088427473083,3.70882350845441,19100,2.66954851104707,0.374595178121626,140341,7.34769633507853,100,98.5977013132299
"YAN 8A-I_200um",1.88,"Unit 8","YAN FW",1,239.93,27066.24414,1.42,0.0156102545181043,0.014191140471004,0.0532167767662648,0,0.0205771536829557,0,0.0894041849673249,0.508752385885492,1.74267204983929,0,1.76395876054579,0.131977606380337,0.0390256362952609,0.597447013829266,76.3384019356716,0.103595325438329,0.0163198115416545,0.326396230833091,0.18022748398175,0,0.0496689916485138,0,0,0.277436796208127,1.76395876054579,0.0759226015198712,0.427153328177219,0,0,0,0.254021414430971,0.5399728949217,0.145459189827791,0.135525391498088,0.136234948521638,0.172422356722698,0.0432829784365621,0.07166525937857,0.0972093122263771,10.0984155591664,3.7698764661222,19545,2.67871259175607,0.373313659359191,140933,7.21069327193656,100,98.4254929647421
"YAN 8A-I_200um",1.9,"Unit 8","YAN FW",1,243.08,27388.82617,1.36,0.0196970869415348,0.0175866847692275,0.0780848803753702,0.00773814129846011,0.0119589456430747,0,0.0963750325353668,0.553628836535282,1.86770592249196,0,1.99503352022117,0.13295533685536,0.048539249963068,0.656335075587571,76.5386590504597,0.182198054209197,0,0.370023847544547,0.197674336806117,0.0865264890645994,0,0,0.00492427173538371,0.306711782375328,1.65033449874431,0,0.443184456184534,0,0,0.0168832173784584,0.177273782473813,0.543780293064515,0.0619051303876809,0.170239108566122,0.100595836879981,0.083712619501523,0.122403325993824,0,0.0112554782523056,9.91748327506279,3.52859243209781,19114,2.81060606060606,0.355795148247978,142153,7.43711415716229,100,98.6212039140926
"YAN 8A-I_200um",1.92,"Unit 8","YAN FW",1,246.23,27661.3125,1.31,0.0151708443954074,0.0103437575423232,0.0944729855532186,0.0034479191807744,0.028962521118505,0.00689583836154881,0.101368823914767,0.528910802330793,2.11288487397855,0,2.09702444574699,0.125504258180188,0.0427541978416026,0.577181670861635,76.7486122125297,0.154466779298693,0,0.28686687584043,0.163431369168707,0,0.0275833534461952,0.0489604523669965,0,0.296521049546599,1.55018446367617,0,0.34892942109437,0,0,0.00620625452539393,0.249629348688067,0.533737889183878,0.128262593524808,0.162741785332552,0.051718787711616,0.159293866151777,0.0379271109885184,0.0793021411578113,0,9.73416543116229,3.48653587559908,19172,2.79193037974684,0.358175120430717,145015,7.56389526392656,100,98.6628969416957
"YAN 8A-I_200um",1.94,"Unit 8","YAN FW",1,249.38,27419.91016,1.26,0.0152946656377528,0.00973296904220632,0.0750829040398774,0,0.020161150158856,0,0.0882919334543002,0.56937868896907,2.16210955151869,0,2.08007452673438,0.123747749250909,0.0424079365410418,0.586063778755709,76.3899027398308,0.188402472174137,0,0.329530523286128,0.18492641180192,0.085511085156527,0,0.0618738746254545,0,0.286427374670643,1.76653388116045,0,0.473439422695893,0,0,0.0208563622332993,0.222467863821859,0.533227661098018,0.0639595108487844,0.107757871538713,0.0375414520199387,0.126528597548682,0.0729972678165474,0.0389318761688253,0.0187707260099693,9.62243032236984,3.59563684902079,19013,2.6761407579273,0.373672422512824,143841,7.56540261926051,100,98.6283465771234
"YAN 8A-I_200um",1.96,"Unit 8","YAN FW",1,252.53,27300.32813,1.4,0.0111914720982611,0.00629520305527188,0.0825371067246758,0,0.0293776142579355,0.0118909391044024,0.0832365737308171,0.594546955220122,1.96410335324483,0,1.99977617055803,0.124505127093155,0.0951275128352196,0.612033630373655,76.727333771666,0.0923296448106543,0,0.267196396345984,0.121007792062448,0.0454653553991858,0,0,0,0.340640431990823,1.65563840353651,0.017486675153533,0.573562945035883,0,0,0.0034973350307066,0.22802624400207,0.530895457661262,0.0461648224053271,0.154582208357232,0.0307765482702181,0.0391701523439139,0.105619517927339,0,0.0531594924667403,9.73728019249332,3.61554495474448,19090,2.69317082607854,0.371309532361181,142966,7.48905185961236,100,98.6528265461718
