C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data     07/08/2013  re-evaluated data																																																							
peakarea																																																							
filename	position (mm)	sample surface	validity	revalidity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Br	Rb	Sr	Y	Zr	Sn	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	D1	S1	S2	S3	Mo inc	Mo coh
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000010.spe	20.04	7.86	0	1	0.018306	-0.003173	0.009933	0.093737	7960.69922	1.14	9	8	0	8	0	0	55	7	44	0	29	0	0	16	1346	11	0	47	53	0	0	16	58	69	1608	0	645	0	0	0	0	26	41	37	9	32	50	0	0	57	4	7	1.03E+15	12626	3956
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000011.spe	22.04	7.86	0	1	0.018306	-0.003173	0.009933	0.093737	8888.4541	1.45	0	0	0	0	0	0	72	16	198	7	86	5	0	50	3061	28	0	33	63	47	58	110	119	9	2028	115	724	0	7	12	5	0	0	0	36	15	0	0	0	40	35	0	6.88E+13	13813	4097
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000012.spe	24.04	7.86	1	1	0.018306	-0.003173	0.009933	0.093737	11290.63184	1.17	15	0	17	26	18	5	37	8	725	0	269	0	0	145	9252	109	0	145	124	0	84	0	145	92	2451	34	848	0	0	0	0	0	22	17	63	58	0	34	11	107	31	0	4.59E+14	16155	4776
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000013.spe	26.04	7.86	1	1	0.018306	-0.003173	0.009933	0.093737	12695.56055	1.41	11	0	36	33	32	6	68	81	1266	0	417	33	0	259	15013	214	0	258	235	80	22	0	109	37	2556	0	920	0	0	0	0	21	0	102	68	57	84	0	25	95	24	0	1.25E+13	16223	4824
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000014.spe	28.04	7.89	1	1	0.018306	-0.003173	0.009933	0.093737	12659.56445	1.4	0	7	30	17	19	8	79	64	1167	0	465	20	6	244	14087	184	0	199	182	20	0	32	108	88	2734	71	931	0	0	0	0	30	38	73	29	0	71	0	0	30	40	7	1.05E+12	16249	5229
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000015.spe	30.04	7.89	1	1	0.018306	-0.003173	0.009933	0.093737	11504.72266	1.49	0	0	0	0	0	0	59	17	483	0	189	15	7	114	7561	99	0	141	129	25	0	66	138	91	2779	97	876	5	0	6	0	11	0	32	60	41	85	35	60	10	15	0	0	16503	5210
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000016.spe	32.04	7.89	1	1	0.018306	-0.003173	0.009933	0.093737	11695.71289	1.39	0	0	0	0	0	6	83	21	590	0	260	0	0	130	9287	165	0	84	98	62	42	20	100	31	2606	62	784	0	0	0	0	0	0	35	25	6	10	104	55	0	0	11	1.10E+15	16397	5136
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000017.spe	34.04	7.88	1	1	0.018306	-0.003173	0.009933	0.093737	10724.76074	1.33	0	8	0	4	12	0	96	14	402	5	165	0	20	102	6533	68	0	86	86	25	0	14	134	32	2722	171	876	5	0	16	0	0	10	48	52	0	93	19	0	43	36	8	0	15845	4688
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000018.spe	36.04	7.87	0	1	0.018306	-0.003173	0.009933	0.093737	8861.25586	1.43	0	0	0	0	18	0	78	0	195	0	79	0	12	45	2972	55	0	41	65	60	51	16	43	48	2252	31	783	0	0	0	0	13	0	25	9	0	4	0	0	0	7	6	3.92E+14	13397	4007
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000019.spe	38.04	7.87	1	1	0.018306	-0.003173	0.009933	0.093737	12621.86621	1.32	0	0	24	0	21	4	52	42	1196	0	392	39	10	231	12325	230	11	195	184	4	26	69	201	68	3016	0	818	12	0	0	0	33	21	64	66	5	47	0	0	92	0	0	0	16841	5064
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000020.spe	40.04	7.88	1	1	0.018306	-0.003173	0.009933	0.093737	15552.91992	1.44	14	9	57	31	23	0	50	92	1891	19	624	12	17	327	18831	170	0	240	341	23	0	102	276	38	3906	14	1039	0	0	6	0	11	14	26	54	0	54	0	10	85	57	0	2.48E+14	19641	5534
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000021.spe	42.04	7.92	1	1	0.018306	-0.003173	0.009933	0.093737	13289.33301	1.36	24	22	10	0	39	5	80	33	837	0	237	6	6	144	8486	45	0	199	257	13	59	89	207	0	3849	76	978	0	0	8	0	7	0	34	10	11	0	0	0	48	44	17	0	19202	5666
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000022.spe	44.04	7.93	1	1	0.018306	-0.003173	0.009933	0.093737	11558.91797	1.44	0	0	0	0	29	5	58	0	81	0	19	9	7	32	1530	61	17	107	227	54	95	87	251	0	3680	84	1123	0	0	0	0	0	0	32	30	32	0	0	0	124	0	0	7.95E+13	18832	5127
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000023.spe	46.04	7.93	1	1	0.018306	-0.003173	0.009933	0.093737	12710.25977	1.28	6	9	0	20	24	0	60	39	734	0	226	12	23	144	7347	91	8	272	376	16	207	70	205	0	3782	37	901	0	0	0	13	12	39	58	84	53	0	0	0	23	23	0	1.52E+14	18661	4867
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000024.spe	48.04	7.93	1	1	0.018306	-0.003173	0.009933	0.093737	14948.75	1.32	5	20	45	16	34	0	44	61	1468	0	323	0	0	245	10674	171	0	461	533	16	0	20	376	87	4859	0	964	0	0	0	0	7	0	57	36	67	20	22	0	0	0	21	0	20407	5465
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000025.spe	50.04	7.93	1	1	0.018306	-0.003173	0.009933	0.093737	15688.11328	1.46	0	0	0	25	42	10	44	43	1812	0	261	24	8	308	10735	139	0	521	709	0	0	63	466	0	5396	25	934	0	0	5	0	16	50	93	49	15	47	38	97	21	43	0	0	22204	5659
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000026.spe	52.04	7.95	1	1	0.018306	-0.003173	0.009933	0.093737	16070.19336	1.61	0	8	10	26	62	9	67	59	1492	11	215	4	14	265	13299	232	0	534	587	38	75	192	422	16	5407	18	1084	0	0	0	0	0	40	39	110	79	0	24	0	20	0	0	1.07E+15	22657	5865
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000027.spe	54.04	7.95	1	1	0.018306	-0.003173	0.009933	0.093737	15901.2002	1.44	10	0	22	0	48	0	51	48	1707	0	251	9	28	327	10927	89	0	580	671	16	0	52	483	29	5600	0	1083	0	0	0	0	25	47	60	31	43	96	20	0	0	78	0	2.56E+14	22385	5761
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000028.spe	56.04	7.84	1	1	0.018306	-0.003173	0.009933	0.093737	14095.49316	1.31	0	16	24	6	31	15	55	43	1283	0	145	0	30	216	5764	43	0	450	708	0	0	124	453	78	5265	0	849	0	0	7	0	44	55	82	87	33	124	0	0	0	53	0	0	20736	5411
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000029.spe	58.04	7.88	1	1	0.018306	-0.003173	0.009933	0.093737	14311.58008	1.73	0	0	27	19	45	8	66	40	1553	0	189	19	0	252	8904	172	0	499	734	38	0	119	268	32	5011	0	943	7	6	0	0	0	0	69	90	28	78	0	0	0	0	0	0	20335	5229
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000030.spe	60.04	7.9	1	1	0.018306	-0.003173	0.009933	0.093737	12153.78906	1.54	0	0	0	17	29	0	78	25	866	0	110	0	0	145	5305	95	0	346	417	0	72	36	314	65	4202	0	790	0	7	10	11	4	50	55	52	25	35	75	0	0	0	0	2.22E+14	17991	4699
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000031.spe	62.04	7.9	1	1	0.018306	-0.003173	0.009933	0.093737	12724.26172	1.33	11	0	6	0	22	0	65	39	1208	0	117	25	0	166	7558	105	0	347	461	0	98	109	276	55	4442	35	761	0	0	0	0	19	25	39	65	57	0	26	0	0	15	31	9.37E+14	18390	5010
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000032.spe	64.04	7.9	1	1	0.018306	-0.003173	0.009933	0.093737	14671.46191	1.48	0	0	0	0	34	0	66	49	1690	0	183	14	11	352	10431	115	0	528	539	0	50	80	425	54	4983	0	797	8	0	0	6	56	0	22	30	22	0	0	27	53	0	9	7.33E+14	20756	5271
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000033.spe	66.04	7.9	1	1	0.018306	-0.003173	0.009933	0.093737	15566.31934	1.45	8	22	0	27	40	13	96	50	1785	0	163	6	7	345	10873	124	0	535	753	0	56	145	430	57	5068	0	852	18	0	0	6	0	55	79	98	90	12	97	0	0	45	12	0	22254	6050
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000034.spe	68.04	7.91	1	1	0.018306	-0.003173	0.009933	0.093737	15926.00098	1.4	0	10	7	35	39	15	61	44	1405	11	118	0	15	230	9837	165	0	440	569	0	0	179	541	112	5249	55	864	0	0	0	0	0	58	39	54	64	151	61	60	36	19	5	1.37E+15	23818	5681
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000035.spe	70.04	7.93	1	1	0.018306	-0.003173	0.009933	0.093737	14948.24902	1.35	11	0	9	13	6	0	63	4	936	0	118	0	12	183	7478	122	0	334	458	15	48	148	350	39	4676	0	869	8	0	0	28	0	16	34	60	33	26	0	0	0	16	0	0	22407	5792
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000036.spe	72.04	7.92	1	1	0.018306	-0.003173	0.009933	0.093737	15188.83691	1.47	0	6	6	23	48	0	72	37	1384	5	174	20	7	221	9315	154	15	537	622	0	0	121	398	0	5130	0	939	0	0	0	0	15	74	103	92	24	84	0	58	0	7	0	0	21682	5506
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000037.spe	74.04	7.87	1	1	0.018306	-0.003173	0.009933	0.093737	14890.95313	1.7	0	0	29	25	30	9	87	42	1686	0	193	0	0	239	9029	128	0	489	644	0	46	84	401	150	4757	17	774	0	0	7	0	0	40	100	75	31	19	0	0	0	52	0	0	21908	5724
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000038.spe	76.04	7.86	1	1	0.018306	-0.003173	0.009933	0.093737	13353.22754	1.33	23	12	0	18	24	10	69	42	798	0	192	22	0	142	7712	96	0	289	303	0	64	88	296	28	3583	42	943	6	0	0	41	0	24	48	48	32	0	0	0	51	29	0	5.85E+13	19746	5231
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000039.spe	78.04	7.89	1	1	0.018306	-0.003173	0.009933	0.093737	12607.86719	1.3	0	0	0	14	35	0	80	24	426	0	97	9	0	66	4368	89	0	225	262	16	86	99	271	40	4048	0	845	0	0	0	0	0	0	10	27	23	20	0	0	0	0	14	0	19391	5197
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000040.spe	80.04	7.93	1	1	0.018306	-0.003173	0.009933	0.093737	13101.84082	1.43	0	0	0	0	27	11	69	22	573	0	75	17	13	127	5457	84	0	258	349	14	0	48	379	0	4267	43	885	0	6	0	0	29	26	77	61	0	112	23	0	14	7	18	6.61E+14	20148	5472
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000041.spe	82.04	7.93	1	1	0.018306	-0.003173	0.009933	0.093737	13384.42773	1.53	0	0	0	17	0	0	67	26	612	14	102	10	23	117	6792	83	12	298	321	38	0	81	419	30	4592	0	887	0	0	0	0	0	0	39	30	0	34	0	29	0	0	0	4.11E+14	20128	5185
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000042.spe	84.04	7.93	1	1	0.018306	-0.003173	0.009933	0.093737	11352.42871	1.31	6	14	29	36	34	5	63	12	681	0	65	0	0	113	4808	87	16	250	309	0	98	52	251	158	3786	6	798	0	0	13	0	12	41	42	50	8	0	0	0	92	0	0	1.79E+15	17296	4580
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000043.spe	86.04	7.93	1	1	0.018306	-0.003173	0.009933	0.093737	14221.58594	1.31	7	0	10	8	45	0	41	20	1306	0	161	15	10	240	8073	128	0	420	705	37	97	205	332	0	4672	72	1043	0	0	0	0	0	0	7	59	15	0	0	105	160	0	0	6.94E+14	20869	5621
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000044.spe	88.04	7.93	1	1	0.018306	-0.003173	0.009933	0.093737	15949.89941	1.36	0	0	0	0	37	0	55	38	2247	5	286	21	0	367	12512	179	0	641	822	20	78	123	428	76	5474	0	958	0	0	0	0	0	42	49	78	27	0	32	0	61	20	15	0	22072	5677
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000045.spe	90.04	7.97	1	1	0.018306	-0.003173	0.009933	0.093737	15720.61035	1.45	8	19	11	18	41	10	71	48	2212	0	302	16	0	378	15977	112	0	578	728	0	75	109	357	31	4949	60	949	20	0	0	0	14	27	63	88	63	18	0	83	123	86	5	2.74E+14	20811	5741
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000046.spe	92.04	7.99	1	1	0.018306	-0.003173	0.009933	0.093737	15631.5127	1.3	18	7	14	15	47	0	54	69	2436	0	274	20	0	366	14567	183	12	654	768	47	124	120	472	0	5349	0	972	0	0	0	0	56	28	99	85	72	0	0	0	82	43	0	0	20908	5552
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000047.spe	94.04	8	1	1	0.018306	-0.003173	0.009933	0.093737	15026.94629	1.55	0	0	16	26	52	8	74	60	2919	0	309	29	0	446	16538	182	0	686	824	0	66	79	446	29	4953	43	828	5	0	0	20	8	43	116	85	19	0	35	8	45	49	0	0	18891	5031
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000048.spe	96.04	8	1	1	0.018306	-0.003173	0.009933	0.093737	13950.79785	1.4	0	0	26	18	50	8	52	46	1706	11	186	0	23	285	11894	98	9	561	656	0	92	95	398	0	4980	0	899	0	0	0	0	12	0	97	35	0	0	22	0	101	32	18	2.73E+14	18911	5165
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000049.spe	98.04	8	1	1	0.018306	-0.003173	0.009933	0.093737	15879.80273	1.72	0	10	28	33	67	23	40	60	2956	0	278	20	21	446	17658	207	0	733	910	36	30	163	467	0	5526	0	841	12	0	0	0	0	0	66	102	27	77	37	0	80	78	0	0	19848	5318
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000050.spe	100.04	8	1	1	0.018306	-0.003173	0.009933	0.093737	15225.43457	1.63	0	0	18	0	48	16	58	67	2405	0	249	36	6	387	13617	36	0	642	812	28	0	110	480	0	5604	80	869	7	0	0	0	0	0	78	30	22	80	76	0	37	108	9	0	20248	5285
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000051.spe	102.04	8	1	1	0.018306	-0.003173	0.009933	0.093737	16946.14844	1.6	18	14	30	30	58	0	43	63	3146	0	364	20	31	511	17244	222	0	809	989	0	68	50	469	160	6194	0	883	14	0	0	0	0	7	119	61	111	75	138	0	0	16	0	6.36E+14	21810	5610
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000052.spe	104.04	8	1	1	0.018306	-0.003173	0.009933	0.093737	17064.74219	1.54	8	8	21	31	47	5	66	71	3434	0	333	29	17	552	17342	127	0	849	1086	0	0	141	524	87	6601	19	1022	0	0	0	0	0	57	41	75	0	40	41	0	77	90	0	0	21687	5833
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000053.spe	106.04	8	1	1	0.018306	-0.003173	0.009933	0.093737	17025.24609	1.41	0	0	17	29	41	0	47	65	3461	0	320	17	24	479	16672	153	0	836	1085	0	207	110	655	89	6579	88	1033	0	0	0	0	11	13	135	103	22	12	42	108	0	44	16	0	21754	5746
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000054.spe	108.04	8	1	1	0.018306	-0.003173	0.009933	0.093737	16892.85352	1.45	6	10	25	27	55	0	41	52	3208	0	318	15	28	578	17597	160	0	912	1078	114	139	226	524	0	5960	0	879	0	0	0	0	49	17	88	97	60	0	0	0	78	78	0	0	21372	5643
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000055.spe	110.04	8	1	1	0.018306	-0.003173	0.009933	0.093737	15645.81445	1.42	0	0	18	15	38	0	28	57	2865	0	259	28	11	522	14617	105	0	762	872	15	80	134	436	100	5081	24	962	0	0	0	0	0	6	77	54	68	0	0	22	144	93	0	1.10E+15	20523	5519
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000056.spe	112.04	8	1	1	0.018306	-0.003173	0.009933	0.093737	15893.20313	1.37	0	17	12	18	44	0	64	66	2416	0	281	0	22	428	15428	202	0	697	837	0	9	152	456	0	4908	72	988	6	0	0	16	5	51	42	67	63	67	6	0	52	45	7	5.64E+14	20791	5403
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000057.spe	114.04	8	1	1	0.018306	-0.003173	0.009933	0.093737	14618.26563	1.24	5	12	30	27	43	0	60	42	1843	0	216	25	12	344	12944	133	0	569	651	0	0	0	337	94	4217	68	1016	0	0	0	0	59	29	91	63	96	116	0	44	0	43	12	3.46E+14	19789	5255
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000058.spe	116.04	8	1	1	0.018306	-0.003173	0.009933	0.093737	15535.91797	1.49	0	0	31	24	44	9	48	43	1782	0	306	14	9	287	14009	245	0	472	515	0	0	38	361	18	4751	0	937	5	0	0	0	0	30	94	114	32	119	0	7	0	9	0	0	21104	5614
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000059.spe	118.04	7.99	1	1	0.018306	-0.003173	0.009933	0.093737	15527.12012	1.47	0	0	0	0	44	0	57	33	1577	0	248	0	22	267	13522	75	0	397	472	44	79	118	368	175	4197	0	989	9	0	19	0	36	0	85	39	35	13	55	57	0	101	0	1.58E+15	21452	5687
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000060.spe	120.04	7.97	1	1	0.018306	-0.003173	0.009933	0.093737	14399.37793	1.43	32	0	15	28	24	6	74	13	884	0	150	0	12	161	6980	68	0	326	378	63	90	56	268	66	4267	0	892	5	8	0	0	26	12	84	46	70	0	0	0	61	13	9	1.64E+14	21639	5773
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000061.spe	122.04	7.96	1	1	0.018306	-0.003173	0.009933	0.093737	13119.74023	1.3	31	0	20	27	29	0	63	0	464	0	58	11	0	85	3715	86	0	178	254	5	0	68	182	105	3927	0	988	0	0	0	15	0	20	30	43	94	33	0	0	40	0	0	1.00E+15	21018	5714
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000062.spe	124.04	7.91	1	1	0.018306	-0.003173	0.009933	0.093737	13286.93066	1.51	0	0	0	0	37	8	89	0	314	0	54	5	19	57	2625	67	0	168	211	0	109	64	249	30	4154	47	990	0	0	6	8	8	46	14	71	13	0	66	4	0	9	0	1.14E+15	21614	5508
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000063.spe	126.04	7.89	1	1	0.018306	-0.003173	0.009933	0.093737	12923.75195	1.26	15	28	5	12	35	6	88	12	496	0	109	6	10	96	4252	101	0	232	320	0	97	85	220	33	4014	9	803	0	0	0	41	47	69	57	22	22	0	12	0	0	0	0	1.02E+14	19981	5237
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000064.spe	128.04	7.86	1	1	0.018306	-0.003173	0.009933	0.093737	12748.66016	1.43	0	17	0	0	28	7	66	11	276	0	67	0	5	43	3828	88	0	236	292	43	39	53	360	0	4389	0	939	0	0	0	0	37	7	37	6	19	32	0	0	0	5	0	3.14E+15	19814	5415
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000065.spe	130.04	7.84	1	1	0.018306	-0.003173	0.009933	0.093737	10681.2627	1.34	0	0	8	25	20	6	77	0	58	0	0	0	8	25	1297	23	0	94	152	0	80	125	221	0	3686	122	635	0	0	15	27	9	30	30	26	27	0	0	0	54	13	0	5.90E+14	16988	4857
C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1B\XRF data\L000066.spe	132.04	7.84	1	1	0.018306	-0.003173	0.009933	0.093737	11621.11523	1.36	0	14	0	8	27	10	63	0	270	6	17	0	4	46	2467	73	17	161	276	0	27	52	245	13	3853	0	808	0	0	9	0	17	65	91	71	31	26	70	0	0	0	0	1.54E+14	18837	4937
