Record,strat_depth,SH20_age,LnP2O5_TiO2,LnP_Ti_uXRF,LnCaO_TiO2,LnCa_Ti_uXRF,LnCuO_TiO2,LnCu_Ti_uXRF,LnZnO_TiO2,LnZn_Ti_u-XRF,Group,Guano_Zone
ARD,41,2706,0.816289378,-4.197703075,1.623380818,1.07267196,-4.233391851,-0.657710402,-4.222319768,-0.546756275,Unit  11,GZ 0
ARD,43,2736,1.52399857,-3.100092289,1.908650046,1.409602998,-3.638849919,-0.390474689,-3.644388907,-0.197378705,Unit  11,GZ 0
ARD,45,2766,1.24289609,-3.411432886,1.778208736,1.389953646,-3.868568856,-0.342518995,-3.928480718,-0.093438206,Unit  11,GZ 0
ARD,47,2789,1.909542505,-3.808424605,2.217427285,0.963872923,-3.297596091,-1.004583339,-3.203685659,-0.731917291,Unit  11,GZ 0
ARD,49,2811,1.296828995,-3.50758678,1.824707407,1.619610762,-3.950705899,0.041015894,-3.911206346,0.271576876,Unit  11,GZ 0
ARD,51,2830,0.680895879,-4.182788604,1.662783893,0.990806382,-4.561232672,-1.265890092,-4.479469986,-0.857520538,Unit  11,GZ 0
ARD,53,2846,0.567595518,-3.955082495,1.644504117,0.859074362,-4.677128378,-1.76103757,-4.523392193,-1.037311763,Unit  11,GZ 0
ARD,55,2862,-0.54674631,-4.772941962,1.47805304,0.775095971,-5.782532063,-1.882570204,-5.170372581,-1.277445012,Unit  11,GZ 0
ARD,57,2876,0.804043557,-4.554984311,1.726612649,0.840316475,-4.416452239,-1.55531244,-4.3031273,-1.203235205,Unit  11,GZ 0
ARD,59,2890,0.237759345,-5.678464667,1.587705085,0.866782361,-5.032540082,-1.421839299,-4.741030953,-1.194655338,Unit  11,GZ 0
ARD,61.3,2907,1.620992271,,2.009578028,0.983749705,-3.612394006,-0.668032852,-3.449191237,-0.510486583,Unit  11,GZ 0
ARD,64.5,2930,,-2.807547407,,1.972997183,,0.836495595,,1.173427443,Unit  11,GZ 0
ARD,67.6,2953,2.709236121,-2.446879254,2.840232248,1.893041913,-2.292067994,0.861591672,-2.188043551,1.119073361,Unit 10,GZ 4
ARD,70.8,2977,2.708585963,-2.559707863,2.810835055,2.192961248,-2.229221461,0.882699787,-2.210495528,1.10857253,Unit 10,GZ 4
ARD,74,3001,2.595768438,-2.938491006,2.736336993,2.051270665,-2.390124299,0.750388448,-2.277854312,0.951027133,Unit 10,GZ 4
ARD,77.1,3027,2.458480974,-1.394878105,2.631962141,2.266470661,-2.482291619,1.372308119,-2.364119881,1.926180779,Unit 10,GZ 4
ARD,80.3,3054,2.807635983,-4.03044076,2.905774016,2.121683847,-2.213494263,1.07637014,-2.037734079,1.662328915,Unit 10,GZ 4
ARD,83.5,3081,2.841120126,-2.251291799,2.963201933,2.611101252,-2.155855237,2.328560579,-1.908721043,3.074154235,Unit 10,GZ 4
ARD,86.6,3108,2.561354656,-2.208732184,2.741498135,2.320950874,-2.456223376,1.165008351,-2.413467793,1.575930823,Unit 10,GZ 4
ARD,89.8,3136,2.654718739,-4.389689507,2.839459577,1.85879963,-2.328201305,0.617349584,-2.242428176,0.842652409,Unit 10,GZ 4
ARD,92.9,3163,2.712462223,-3.507807117,2.895648815,1.744793483,-2.198983803,0.677577156,-2.045993608,0.784790448,Unit 10,GZ 4
ARD,96.1,3191,3.100488211,-2.089949519,3.250459674,2.774003227,-1.861162948,1.49278664,-1.763588592,1.738385645,Unit 10,GZ 4
ARD,99.3,3219,2.800451887,-2.327277706,2.896980373,2.553944687,-2.196322457,1.283358636,-2.16589414,1.424674352,Unit 10,GZ 4
ARD,102.4,3246,2.715492725,-2.450301121,2.819841607,2.323836546,-2.215410845,1.068830457,-2.214866552,1.308998757,Unit 10,GZ 4
ARD,105.6,3274,2.598329457,-2.982964545,2.841330558,2.215862275,-2.436678654,0.941222978,-2.38413496,1.119308701,Unit 10,GZ 4
ARD,108.7,3301,2.496262104,-2.827442248,2.74838361,2.126392625,-2.549228467,0.522843155,-2.419012196,0.807279401,Unit 10,GZ 4
ARD,111.9,3329,1.972804702,-3.834511813,2.412628504,1.577970942,-3.199896424,0.157169211,-3.080890082,0.443021985,Unit 9,GZ 4
ARD,115.1,3357,1.731230938,-3.109837055,2.283962581,1.663276452,-3.377622615,-0.30410794,-3.324851536,-0.016031624,Unit 9,GZ 4
ARD,118.2,3385,1.635174958,-3.952326556,2.223908817,1.220475493,-3.489763009,-1.123264318,-3.427988822,-0.903788048,Unit 9,GZ 4
ARD,121.4,3416,1.416473778,-4.0279937,2.088503378,1.310434297,-3.595898065,-0.323496106,-3.560690906,-0.023357752,Unit 9,GZ 4
ARD,124.5,3451,1.301090486,-4.256477238,2.051270665,1.36938764,-3.796304912,-0.477846262,-3.557007813,-0.447108387,Unit 9,GZ 4
ARD,127.7,3486,1.258648801,-3.547279887,2.035083689,1.461583004,-3.803143513,-0.538353786,-3.626409186,-0.261329696,Unit 9,GZ 4
ARD,130.9,3520,1.212159473,-4.251238728,2.003397877,1.320476483,-3.900014419,-0.628951184,-3.738787561,-0.112999972,Unit 9,GZ 4
ARD,134,3554,1.334910162,-3.673049694,2.084394712,1.349058002,-3.724491822,-1.078943752,-3.588713755,-0.555553714,Unit 9,GZ 4
ARD,137.2,3588,1.133041008,-3.47609869,1.990888144,1.33591081,-3.851330458,-0.803063007,-3.719863,-0.30704582,Unit 9,GZ 4
ARD,140.4,3623,1.445037009,-3.341200073,2.122999516,1.618775841,-3.540581925,-0.120879509,-3.508081127,-0.068840583,Unit 9,GZ 4
ARD,143.5,3657,1.66077081,-4.742661121,2.291634262,1.591853361,-3.41284846,-0.204002415,-3.43646552,0.137171973,Unit 9,GZ 4
ARD,146.7,3696,1.222321943,-3.737297525,2.06284365,1.552152518,-3.884369625,-0.641295799,-3.848256387,-0.345519366,Unit 9,GZ 4
ARD,149.8,3736,1.132777102,-3.226423031,2.035232102,1.464438217,-3.964403288,-0.805381728,-3.94087116,-0.639000817,Unit 9,GZ 4
ARD,151,3751,0.870505308,-5.162333991,1.945689666,1.21232571,-4.101152247,-1.104357073,-4.176318145,-0.897644063,Unit 9,GZ 4
ARD,153,3777,1.228462482,-3.803571297,2.070457882,0.955630514,-3.87743648,-1.691676011,-3.837499146,-1.229052489,Unit 9,GZ 4
ARD,155,3802,-0.046812599,-4.787789318,1.721058655,0.867827798,-4.844034748,-1.883624238,-4.78817457,-1.69350537,Unit 9,GZ 4
ARD,157,3833,-0.607833597,-4.961572365,1.605613816,0.708778666,-5.167023963,-2.24747985,-5.037716253,-1.880914221,Unit 9,GZ 4
ARD,159,3864,-1.107932021,-5.364105107,1.555439403,0.790646824,-5.295891376,-2.642809679,-5.202276583,-2.077570634,Unit 8,GZ 0
ARD,161,3898,-1.376922221,-4.283141524,1.631171149,0.787789432,-5.460909205,-3.003104138,-5.245142604,-2.120560338,Unit 8,GZ 0
ARD,163,3936,-1.1589928,-5.570631962,1.68707388,0.812114249,-5.497496944,-3.263059327,-5.245072852,-2.135033153,Unit 8,GZ 0
ARD,165,3974,-1.462346724,-5.358847866,1.599285541,0.661689928,-5.574788618,-2.880630205,-5.313584839,-2.052694033,Unit 8,GZ 0
ARD,167,4012,-0.742112185,-5.263984687,1.32408413,0.753304236,-5.367149254,-2.943700017,-5.175625395,-2.171320174,Unit 8,GZ 0
ARD,169,4051,-1.590090271,-4.596771378,1.526746197,0.800156501,-5.447380944,-2.481611754,-5.29709711,-2.144200109,Unit 8,GZ 0
ARD,171,4089,-1.561564488,-5.674182005,1.556542499,0.685968399,-5.530132536,-2.492661967,-5.305168841,-2.076869744,Unit 8,GZ 0
ARD,173,4127,-1.505325058,-5.009095648,1.566119038,1.359882886,-5.44001112,-0.432799883,-5.264000274,-0.207599857,Unit 8,GZ 0
ARD,175,4165,0.662184955,-3.338139246,1.885938624,2.255332208,-4.312032705,1.030253198,-4.24921286,1.31661444,Unit 8,GZ 0
ARD,177,4204,2.103021361,-3.056356895,2.547753656,2.233592222,-3.035966251,1.157620842,-2.931061206,1.43040506,Unit 8,GZ 0
ARD,179,4242,2.441469567,-3.112691925,2.680784637,1.502245223,-2.401963198,0.884148695,-2.464934517,0.804502869,Unit 7,GZ 3
ARD,181,4280,,-3.177392236,,1.450843223,,0.763727144,,0.654693876,Unit 7,GZ 3
ARD,183,4319,,-4.335781307,,1.339918199,,-0.11570815,,0.049605062,Unit 7,GZ 3
ARD,185,4357,,-2.431253936,,1.568725273,,0.896141588,,0.904674973,Unit 7,GZ 3
ARD,187,4382,2.339692881,-4.080921542,2.440489532,1.511556863,-2.387486167,1.054582734,-2.497176742,0.889585961,Unit 7,GZ 3
ARD,189,4407,2.299251492,-3.405631979,2.5448785,1.74449469,-2.436218157,-0.09265883,-2.731297741,0.083983198,Unit 7,GZ 3
ARD,191,4430,0.904660866,-3.93790732,2.104515179,1.387051978,-4.252556701,-0.761707058,-4.086562422,-0.459748897,Unit 7,GZ 3
ARD,193,4450,1.125966292,-4.683219959,2.189988253,1.07512497,-3.978125083,-1.577578706,-3.880898462,-1.096438375,Unit 6,GZ 0
ARD,195,4470,0.95436268,-3.919140473,2.105225659,1.82979745,-4.157012119,0.071605688,-4.081078663,0.170032007,Unit 6,GZ 0
ARD,197,4491,1.65389798,-3.973976667,2.399890329,1.775554775,-3.53245786,-0.173128147,-3.503696665,-0.067184711,Unit 6,GZ 0
ARD,199,4511,0.792565548,-3.515332844,1.991743823,1.940422771,-4.287109083,0.007532047,-4.203485801,0.339132865,Unit 6,GZ 0
ARD,201,4531,1.073205517,-4.172847624,2.111740529,1.27285473,-3.935135838,-1.230516127,-3.956220051,-0.875530373,Unit 6,GZ 0
ARD,204,4560,1.381242181,-5.155282834,2.277739094,0.857335692,-3.852540855,-1.951695701,-3.781563812,-1.370309808,Unit 6,GZ 0
ARD,206,4580,1.593359524,-4.074857675,2.362577004,1.377610372,-3.611978702,-0.987810432,-3.612980971,-0.828298421,Unit 6,GZ 0
ARD,208,4600,0.223548601,-2.931073625,1.778619271,1.92692136,-4.723433902,-0.013059436,-4.633244608,0.016206265,Unit 6,GZ 0
ARD,210,4621,0.987996354,-4.41669641,2.047040446,1.097807028,-4.167172425,-1.450278524,-4.050230946,-1.213047032,Unit 6,GZ 0
ARD,212,4641,1.087290892,-5.58631189,2.12453775,1.022363271,-4.114352664,-1.638680457,-3.961843354,-1.169732874,Unit 6,GZ 0
ARD,214,4661,1.128633305,-5.028880531,2.171964911,1.216949341,-3.947482149,-1.031991305,-3.983935587,-0.79823065,Unit 6,GZ 0
ARD,216,4681,0.967444265,-3.867324459,2.054482007,1.215675792,-4.1978547,-0.99375982,-4.047330597,-0.69884008,Unit 6,GZ 0
ARD,218,4701,0.836093572,-5.57626471,2.022850761,1.224461996,-4.188604578,-1.128723468,-4.107558901,-0.76679406,Unit 6,GZ 0
ARD,220,4721,1.346903854,-3.929264812,2.242225716,1.661073029,-3.755361449,-0.23496529,-3.735803788,-0.047252885,Unit 6,GZ 0
ARD,222,4741,0.742672909,-5.032266314,1.973590349,1.238268328,-4.251513208,-1.149466167,-4.218772141,-0.867152681,Unit 6,GZ 0
ARD,224,4760,1.26975144,-4.339901708,2.176665316,1.453264327,-3.866112156,-0.838858992,-3.844652194,-0.74396025,Unit 6,GZ 0
ARD,226,4780,0.62217962,-4.368630859,1.893526736,1.703670125,-4.332651992,-0.435541004,-4.327581927,-0.181422901,Unit 6,GZ 0
ARD,228,4800,0.635353322,-4.551497152,1.899277483,1.461113206,-4.334280687,-0.699292642,-4.318568611,-0.61462419,Unit 6,GZ 0
ARD,230,4819,1.49587102,-4.526487664,2.328515673,1.418583844,-3.657409886,-0.793591324,-3.669798216,-0.645611388,Unit 6,GZ 0
ARD,232,4840,0.800064235,-4.686934488,2.016927313,1.497873979,-4.290819869,-0.728027896,-4.211937646,-0.336914649,Unit 6,GZ 0
ARD,234,4861,0.995138155,-5.07156153,2.082378401,1.059581344,-4.121018877,-1.831375918,-4.082648522,-1.388468013,Unit 6,GZ 0
ARD,236,4881,0.167316407,-4.85261603,1.813575245,0.86506935,-4.706033722,-2.475387394,-4.651235553,-1.861896298,Unit 6,GZ 0
ARD,238,4901,-0.47323465,-4.824305716,1.764740003,1.119018456,-5.133614411,-1.512546897,-4.963382409,-1.047720681,Unit 6,GZ 0
ARD,240,4921,-0.440354337,-5.231952617,1.748446952,1.192063018,-5.100419413,-1.629606186,-4.91665756,-1.079670218,Unit 6,GZ 0
ARD,242,4941,-0.131096524,-4.631737213,1.823117022,1.070077515,-4.886235103,-1.958473128,-4.796405069,-1.380567967,Unit 6,GZ 0
ARD,244,4960,1.277565363,-4.753270855,2.202370702,1.180054405,-3.915850062,-1.375809754,-3.707290016,-0.926241063,Unit 6,GZ 0
ARD,246,4980,1.349127921,-4.218504528,2.207855176,1.353735916,-3.734852132,-0.844958678,-3.703917331,-0.520012334,Unit 6,GZ 0
ARD,248,4999,1.163644759,-4.381133379,2.168262874,1.211185337,-4.103970444,-1.249788546,-4.042735112,-0.941784231,Unit 6,GZ 0
ARD,250,5018,1.081724071,-4.33748878,2.121220016,1.471472375,-3.950919005,-0.536905337,-3.935420604,-0.196761953,Unit 6,GZ 0
ARD,253,5044,0.524642769,-3.439719704,1.958255985,1.574605145,-4.450154836,-0.588040746,-4.402525156,-0.402769475,Unit 6,GZ 0
ARD,254,5052,0.577302398,-4.214817579,1.970831933,1.474081965,-4.323852438,-0.698534399,-4.359373127,-0.328112382,Unit 6,GZ 0
ARD,256,5069,0.737925303,-5.298650644,1.979239537,1.514940465,-4.251346799,-0.719140205,-4.213818215,-0.51227063,Unit 6,GZ 0
ARD,258,5084,1.1307694,-4.833815814,2.136792838,1.263173028,-4.061931534,-1.04806001,-3.90713302,-0.776349883,Unit 6,GZ 0
ARD,260,5100,0.113728765,-4.471037109,1.832021083,1.301960435,-4.770057829,-0.967378146,-4.603770606,-0.62257065,Unit 6,GZ 0
ARD,262,5115,0.533683762,-5.574491164,1.926313941,1.287220176,-4.429656314,-1.0552141,-4.364834234,-0.676077476,Unit 6,GZ 0
ARD,264,5131,0.121947907,-4.258759841,1.860673591,1.127899036,-4.758081638,-0.987924277,-4.641984159,-0.625569292,Unit 6,GZ 0
ARD,266,5146,-0.25803183,-5.127306601,1.819400558,1.101327669,-5.005250212,-1.336039797,-4.846394897,-0.898649701,Unit 6,GZ 0
ARD,268,5162,0.444068901,-4.993090984,1.908354022,0.951190802,-4.511644548,-2.019337618,-4.414622113,-1.484795467,Unit 6,GZ 0
ARD,270,5177,0.396102418,-5.315666005,1.908878538,0.882134975,-4.460965752,-1.669346165,-4.40743635,-0.99928962,Unit 6,GZ 0
ARD,272,5192,0.724794266,-4.760618725,1.968566491,0.965043838,-4.264827915,-1.507780744,-4.192983977,-0.932965959,Unit 6,GZ 0
ARD,274,5207,0.638415487,-3.883412471,1.926045408,1.38259359,-4.301938891,-0.38457662,-4.234106505,0,Unit 6,GZ 0
ARD,276,5223,0.122217633,-4.211347567,1.79729965,1.165878261,-4.750780274,-0.928262222,-4.611859174,-0.4724256,Unit 6,GZ 0
ARD,278,5238,0.118913874,-4.772963642,1.811033934,1.055868847,-4.627991352,-1.239838718,-4.620907767,-0.77264803,Unit 6,GZ 0
ARD,280,5253,0.102786163,-4.212299848,1.81538437,0.994131701,-4.765857951,-1.241289258,-4.617423573,-0.821231108,Unit 6,GZ 0
ARD,282,5276,0.157684759,-5.229324495,1.827074028,1.036356874,-4.68894427,-1.159728103,-4.676653957,-0.723606388,Unit 6,GZ 0
ARD,284,5300,,-4.144682115,,0.977974389,,-1.202813832,,-0.728956633,Unit 6,GZ 0
ARD,286,5324,2.392457366,-3.151385583,2.573247162,1.4647766,-2.470158697,0.459532329,-2.684008717,0.47878627,Unit 6,GZ 0
ARD,288,5351,2.92181155,-3.155986736,3.158672463,1.928665823,-2.208988344,1.050835809,-2.158111908,1.262853871,Unit 6,GZ 0
ARD,290,5377,,-2.885384216,,2.111727205,,0.452136627,,0.919618522,Unit 6,GZ 0
ARD,292,5420,,-3.242020542,,1.59928165,,0.997022503,,1.020659335,Unit 6,GZ 0
ARD,294,5463,2.162391451,-4.645077477,2.49744393,1.474277583,-2.741831984,0.321257559,-2.842150908,0.545495583,Unit 6,GZ 0
ARD,296,5507,,-3.420664776,,2.066045423,,1.008624605,,1.171861712,Unit 5,GZ 2
ARD,298,5552,,-4.022285771,,1.335243455,,0.067763867,,0.401362538,Unit 5,GZ 2
ARD,300,5597,0.379245119,-4.131604665,1.715726995,1.216824743,-4.442344297,0.54278059,-4.514515818,0.606054704,Unit 5,GZ 2
ARD,302,5643,1.844665025,-3.430278591,2.291494406,1.267665028,-3.014374416,0.151417193,-3.154796968,0.213757817,Unit 5,GZ 2
ARD,304,5689,2.377167036,-4.134023046,2.672010265,1.913180257,-2.654753962,1.114503656,-2.716939149,1.348102866,Unit 5,GZ 2
ARD,306,5744,,-2.515337767,,2.668589677,,1.023828712,,1.446438021,Unit 5,GZ 2
ARD,308,5807,,-2.990415132,,2.215255172,,0.893956342,,0.862308131,Unit 5,GZ 2
ARD,310,5870,-1.356403424,-5.666920881,1.651782311,0.780950816,-5.521192343,-2.459539436,-5.253500779,-1.800194151,Unit 5,GZ 2
ARD,312,6000,-1.26109368,-4.591846525,1.63526612,0.695974774,-5.444453138,-2.855516861,-5.228686537,-1.653618746,Unit 4,GZ 0
ARD,314,6131,-1.121734706,-4.23610351,1.59085359,1.317657678,-5.449545447,0.081384604,-5.18725883,0.264854926,Unit 4,GZ 0
ARD,316,6266,-1.034113807,-4.933905805,1.603655693,0.88492693,-5.346587866,-2.442441755,-5.144807507,-1.792707067,Unit 4,GZ 0
ARD,318,6405,-0.257436506,-4.695509353,1.647425453,0.982592647,-4.908510745,-1.306507245,-4.802286902,-1.07968947,Unit 4,GZ 0
ARD,320,6544,2.292726998,-3.110547948,2.612349511,2.235447854,-2.702923528,0.921034293,-2.779346497,0.901622006,Unit 4,GZ 0
ARD,322,6673,2.736529672,-2.9182137,3.058533175,2.304266584,-2.433193886,0.732657421,-2.568288259,0.748705062,Unit 3,GZ 1
ARD,324,6802,1.752000977,-2.979921668,2.311759469,2.166774497,-3.054949568,1.0565722,-3.303585705,0.589887158,Unit 3,GZ 1
ARD,326,6933,-0.773074555,-4.878287242,1.576371235,0.678332095,-5.061731182,-2.554310959,-5.003738715,-1.99848162,Unit 3,GZ 1
ARD,328,7068,-1.246453799,-4.730568595,1.244722463,0.370272967,-5.957522573,-3.157794667,-5.152207192,-2.094372498,Unit 2,GZ 0
ARD,330,7202,-1.694532339,-5.28207506,1.269651576,0.433733575,-6.181712498,-3.304912368,-5.249880401,-2.129022532,Unit 2,GZ 0
ARD,332,7334,-1.616902776,-5.046091193,1.305607854,0.377338606,-6.152880683,-3.828419544,-5.257953143,-1.772204853,Unit 2,GZ 0
ARD,334,7465,-1.60727925,-5.214226622,1.355573349,0.499075613,-6.439708881,-3.604788709,-5.304277829,-2.007599419,Unit 2,GZ 0
ARD,336,7595,-1.675383893,-5.070068211,1.352229112,0.488474382,-6.260130296,-5.657854876,-5.317487283,-2.020268716,Unit 2,GZ 0
ARD,338,7725,-1.719088279,-6.24481394,1.331202979,0.635570142,-6.375008272,-3.265888785,-5.249819713,-2.001091977,Unit 2,GZ 0
ARD,340,7855,-1.719694399,-5.457343361,1.410718913,0.615701173,-6.301458491,-3.203285309,-5.320540503,-2.219697433,Unit 2,GZ 0
ARD,344,8117,-1.773489214,-6.775529157,1.385480581,0.527640895,-6.343546652,-3.731006719,-5.356369378,-2.174653895,Unit 2,GZ 0
ARD,346,8241,-1.27766052,-5.07321878,1.354772275,0.345101379,-4.363947518,-1.293299616,-4.398555937,-1.247298474,Unit 2,GZ 0
ARD,348,8358,-1.468107921,-4.504033541,1.298124235,0.323708604,-4.214613425,-1.40115663,-4.586242176,-1.476664183,Unit 1,GZ 0
ARD,350,8474,-1.599713363,-4.650621449,1.419924432,0.414817637,-4.331487722,-1.559578996,-4.758597277,-1.805712065,Unit 1,GZ 0
ARD,352,8575,-1.667889988,-5.985614133,1.455287233,0.74141831,-4.61859311,-1.803563991,-4.86753445,-1.783412175,Unit 1,GZ 0
ARD,356,8777,-1.594187072,-4.021624515,1.469456407,0.508283186,-4.19494437,-1.53498326,-4.722678836,-1.440776572,Unit 1,GZ 0
