"depth","MSE","cps","validity","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Sn","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo inc","Mo coh","filename","position","sample surface","revalidity","E-gain","E-offset","F-slope","F-offset","kcps","Fe a*2","S1","S2","S3","label","qc"
128,1.33,51324,TRUE,0,0,30,0,32,0,33,63,1798,4,937,22,22,336,29710,164,0,125,177,0,0,40,131,12,1254,21,567,0,0,0,0,0,74,89,77,129,121,23,0,11572,3761,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000021.spe",42.04,7.36,1,0.018309,-0.003173,0.009939,0.093737,12100.3916,0,146,15,2.24e+12,"S1",TRUE
130,1.32,49771,TRUE,10,22,31,4,42,0,45,76,1463,0,862,31,17,304,25139,198,0,45,110,47,111,95,166,113,1405,137,811,0,0,0,0,0,30,58,15,0,0,0,0,13930,4397,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000022.spe",44.04,7.41,1,0.018309,-0.003173,0.009939,0.093737,12724.3623,57,90,0,0,"S1",TRUE
132,1.44,54419,TRUE,0,0,26,0,30,0,25,75,1626,0,952,72,12,358,28262,190,0,131,146,125,32,0,207,37,1621,34,834,16,0,0,0,0,0,58,74,24,40,23,52,14664,4591,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000023.spe",46.04,7.41,1,0.018309,-0.003173,0.009939,0.093737,13759.11035,82,177,0,0,"S1",TRUE
134,1.74,51434,TRUE,0,0,31,14,25,7,45,74,1432,9,903,34,29,353,25503,109,0,76,102,73,93,80,106,95,1529,91,884,18,0,31,0,0,9,88,130,45,18,36,55,14576,4645,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000024.spe",48.04,7.41,1,0.018309,-0.003173,0.009939,0.093737,13456.82324,86,152,0,0,"S1",TRUE
136,1.56,54612,TRUE,0,0,39,21,28,0,46,70,1500,23,1087,78,7,455,27620,299,0,70,76,38,0,40,105,0,1519,0,813,6,0,0,0,0,32,51,42,105,14,0,0,15548,4787,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000025.spe",50.04,7.41,1,0.018309,-0.003173,0.009939,0.093737,14416.07617,93,81,0,9.84e+13,"S1",TRUE
138,1.37,59299,TRUE,4,0,39,31,31,18,55,82,1671,0,1252,73,12,424,31004,292,0,118,141,33,27,29,230,61,1644,0,713,0,0,0,0,37,59,85,101,33,44,0,0,15870,4971,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000026.spe",52.04,7.41,1,0.018309,-0.003173,0.009939,0.093737,14892.75098,115,85,0,9.35e+14,"S1",TRUE
140,1.39,45936,TRUE,5,20,14,12,26,0,83,49,1131,0,878,36,41,308,20826,237,21,98,140,24,0,66,66,17,1375,73,818,0,10,0,0,5,29,69,52,19,84,35,14,14699,4556,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000027.spe",54.04,7.44,1,0.018309,-0.003173,0.009939,0.093737,12453.07324,0,53,0,0,"S1",TRUE
142,1.39,46143,TRUE,0,0,14,0,0,0,63,61,1052,0,804,49,8,279,21423,137,0,34,122,46,0,46,107,0,1458,69,848,0,0,0,0,7,32,84,63,23,95,0,0,14493,4685,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000028.spe",56.04,7.36,1,0.018309,-0.003173,0.009939,0.093737,12356.47852,41,76,0,0,"S1",TRUE
144,1.52,23025,FALSE,NA,NA,7,NA,18,NA,57,12,205,NA,178,NA,7,76,5240,40,NA,23,73,4,89,NA,78,NA,873,NA,645,NA,4,NA,5,10,46,19,45,29,NA,NA,NA,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000029.spe",58.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
146,1.14,20773,FALSE,23,24,16,8,11,11,74,6,83,NA,28,5,NA,27,1692,49,NA,26,66,32,NA,25,51,96,1247,49,667,NA,NA,NA,NA,NA,NA,NA,29,NA,17,50,NA,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000030.spe",60.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
148,1.42,38121,TRUE,18,0,18,15,43,0,79,30,1324,0,302,8,9,246,10909,145,0,341,503,16,20,44,238,0,2527,145,761,0,0,0,0,25,27,59,73,18,0,0,9,15651,4518,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000031.spe",62.04,7.32,1,0.018309,-0.003173,0.009939,0.093737,11849.40625,0,43,25,2.06e+14,"S1",FALSE
150,1.37,47032,TRUE,0,0,26,36,57,0,34,94,2400,20,330,23,11,349,13912,106,6,738,949,14,0,26,369,116,3636,44,845,0,0,0,0,0,10,79,93,42,86,63,0,17576,4942,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000032.spe",64.04,7.31,1,0.018309,-0.003173,0.009939,0.093737,13940.2998,0,73,5,0,"S1",TRUE
152,1.36,33967,TRUE,0,7,15,14,39,0,62,34,1307,11,185,0,0,177,8525,88,0,403,571,51,0,91,319,5,2956,0,621,13,0,15,0,0,7,29,56,40,72,0,0,14184,4070,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000033.spe",66.04,7.33,1,0.018309,-0.003173,0.009939,0.093737,10691.76172,0,20,0,4.42e+14,"S1",TRUE
154.06,1.25,39424,TRUE,9,17,30,8,26,0,42,61,1208,0,480,25,14,208,12511,148,0,244,371,0,8,88,277,18,3102,0,731,0,0,8,9,50,10,19,0,0,9,0,0,15212,4481,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000034.spe",68.1,7.31,1,0.018309,-0.003173,0.009939,0.093737,11732.21094,0,34,15,0,"S1",TRUE
156,1.25,45812,TRUE,0,6,0,13,31,0,40,52,1983,4,322,5,0,296,13570,201,0,645,863,0,23,84,391,72,4141,0,700,0,0,12,0,0,36,32,83,50,35,69,22,17270,4730,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000035.spe",70.04,7.29,1,0.018309,-0.003173,0.009939,0.093737,13269.7334,31,20,0,4.31e+13,"S1",TRUE
158,1.24,53991,TRUE,0,5,16,19,81,10,29,79,2666,0,420,35,9,395,22074,175,0,711,962,0,0,151,414,21,4034,39,740,10,0,0,0,0,50,6,64,12,112,48,38,16218,4314,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000036.spe",72.04,7.34,1,0.018309,-0.003173,0.009939,0.093737,14100.79199,34,94,37,2.25e+14,"S1",TRUE
160,1.26,46002,TRUE,17,14,28,29,25,32,48,77,2079,22,335,21,28,310,16004,81,0,671,804,5,80,44,291,39,3220,0,743,9,0,26,0,0,20,40,44,73,0,97,0,16284,4362,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000037.spe",74.04,7.36,1,0.018309,-0.003173,0.009939,0.093737,12946.25098,0,129,0,0,"S1",TRUE
162,1.38,38258,TRUE,0,0,10,0,29,0,47,51,955,16,415,27,7,150,11399,208,0,193,297,0,29,25,208,0,2848,12,721,10,0,0,0,21,0,57,62,33,60,0,63,15862,4348,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000038.spe",76.04,7.36,1,0.018309,-0.003173,0.009939,0.093737,11716.21094,95,0,6,1.59e+14,"S1",TRUE
164,1.29,51896,TRUE,0,0,44,13,39,0,14,72,1187,0,702,16,0,288,19858,194,0,162,408,12,0,80,360,103,2661,0,935,0,0,0,10,0,6,73,106,49,130,52,122,18813,5303,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000039.spe",78.04,7.36,1,0.018309,-0.003173,0.009939,0.093737,14840.35254,84,67,5,9.87e+14,"S1",TRUE
166,1.39,55472,TRUE,10,7,46,7,35,0,30,98,1396,0,665,63,6,281,20791,263,0,180,444,66,0,86,205,67,2853,0,890,0,0,24,0,35,14,82,81,147,141,11,51,20858,5481,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000040.spe",80.04,7.36,1,0.018309,-0.003173,0.009939,0.093737,16067.69141,58,30,0,0,"S1",TRUE
168,1.35,48085,TRUE,0,0,25,4,21,0,47,75,1262,0,625,37,11,253,17528,175,0,124,377,38,0,140,153,67,2562,0,859,0,0,0,7,33,14,61,14,24,30,0,7,18465,5014,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000041.spe",82.04,7.37,1,0.018309,-0.003173,0.009939,0.093737,14178.48926,33,11,5,9.02e+14,"S1",TRUE
170,1.46,49947,TRUE,0,0,26,6,52,6,41,65,1847,0,427,0,29,335,16539,128,0,467,530,0,0,46,331,95,3886,113,720,6,0,29,0,0,30,49,9,79,97,11,24,18643,5189,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000042.spe",84.04,7.39,1,0.018309,-0.003173,0.009939,0.093737,14384.77832,92,41,9,0,"S1",TRUE
172,1.41,56577,TRUE,0,8,20,44,50,0,61,55,3545,0,370,26,19,447,17744,191,0,969,1104,34,6,101,371,50,5300,0,906,12,0,0,0,9,0,118,40,53,6,75,56,19388,5389,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000043.spe",86.04,7.36,1,0.018309,-0.003173,0.009939,0.093737,16103.89063,10,90,0,1.99e+13,"S1",TRUE
174,1.37,53852,TRUE,0,0,16,18,51,11,66,56,2843,0,255,29,29,364,14004,157,14,848,1030,0,77,141,448,135,4997,67,1017,8,0,14,0,26,94,84,84,78,45,0,134,20934,5568,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000044.spe",88.04,7.35,1,0.018309,-0.003173,0.009939,0.093737,15901.30078,110,31,0,0,"S1",TRUE
176,1.34,45141,TRUE,0,0,0,14,36,0,72,52,2045,20,224,20,0,307,11022,49,18,664,836,0,5,119,410,65,4584,6,714,0,0,0,0,21,67,74,40,47,95,0,0,18507,4993,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000045.spe",90.04,7.37,1,0.018309,-0.003173,0.009939,0.093737,13700.5127,15,94,0,7.95e+14,"S1",TRUE
178,1.34,40493,TRUE,10,0,30,14,61,8,81,37,1382,0,142,15,0,214,7256,151,0,452,619,65,23,66,345,92,5096,0,976,8,5,0,0,36,0,4,0,15,60,16,16,18223,4961,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000046.spe",92.04,7.33,1,0.018309,-0.003173,0.009939,0.093737,12759.6582,14,0,9,0,"S1",TRUE
180,1.53,39143,TRUE,0,14,23,16,36,21,67,40,1623,0,196,6,0,209,6990,87,0,495,660,58,150,87,347,61,5278,0,630,8,0,0,0,23,0,53,63,84,0,53,12,17082,4631,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000047.spe",94.04,7.34,1,0.018309,-0.003173,0.009939,0.093737,12303.58301,40,10,0,0,"S1",TRUE
182,1.44,45513,TRUE,4,17,12,26,39,0,16,40,1966,11,172,20,16,277,7762,52,0,568,994,0,120,141,419,25,6994,7,702,17,0,0,0,0,18,62,97,0,21,0,38,19556,5277,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000048.spe",96.04,7.22,1,0.018309,-0.003173,0.009939,0.093737,14047.39355,27,54,27,5.69e+14,"S1",TRUE
184,1.31,56561,TRUE,11,38,28,23,23,12,5,54,2523,14,289,36,9,363,10895,82,17,821,1326,29,0,200,594,10,8390,27,1024,11,0,0,0,0,0,91,125,16,187,113,145,22721,6309,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000049.spe",98.04,7.16,1,0.018309,-0.003173,0.009939,0.093737,16801.85547,0,85,0,0,"S1",TRUE
186,1.49,56836,TRUE,0,0,6,22,39,0,25,119,3704,23,330,36,14,488,15071,318,0,1002,1402,0,97,210,480,76,6994,0,801,10,0,20,21,0,6,52,110,87,44,0,70,19731,5424,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000050.spe",100.04,7.17,1,0.018309,-0.003173,0.009939,0.093737,15825.00586,4,0,0,0,"S1",TRUE
188,1.28,54298,TRUE,0,12,37,42,51,0,29,97,3381,57,336,6,11,429,14322,164,0,802,1184,75,30,160,348,96,6517,0,780,8,0,0,0,30,0,100,63,0,28,0,42,19616,5370,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000051.spe",102.04,7.18,1,0.018309,-0.003173,0.009939,0.093737,15385.32715,75,29,10,1.44e+15,"S1",TRUE
190,1.26,55671,TRUE,26,9,32,53,55,5,32,102,3493,10,395,0,6,492,13383,69,0,961,1337,30,69,96,555,61,7056,0,954,0,0,0,0,9,0,51,25,44,59,0,38,20536,5621,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000052.spe",104.04,7.18,1,0.018309,-0.003173,0.009939,0.093737,15862.80176,7,84,0,9.77e+14,"S1",TRUE
192,1.33,58839,TRUE,0,0,24,29,60,0,49,115,4242,10,415,44,6,588,15215,235,0,972,1646,6,91,170,679,0,7380,0,848,6,0,0,0,49,115,126,104,49,17,0,0,19968,5554,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000053.spe",106.04,7.18,1,0.018309,-0.003173,0.009939,0.093737,16385.67773,27,30,0,3.91e+14,"S1",TRUE
194,1.23,40919,TRUE,18,17,21,21,32,0,63,56,1793,7,203,28,0,249,6935,90,0,493,770,9,0,41,355,17,5829,0,736,4,0,0,0,25,24,81,85,10,142,0,81,17788,4896,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000054.spe",108.04,7.18,1,0.018309,-0.003173,0.009939,0.093737,12657.86328,0,20,11,0,"S1",TRUE
196,1.22,43815,TRUE,14,23,28,20,68,13,50,74,1810,6,189,36,0,276,8352,118,0,518,827,0,75,118,363,64,6072,0,779,0,0,0,20,0,35,73,71,40,0,0,0,18421,5237,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000055.spe",110.04,7.2,1,0.018309,-0.003173,0.009939,0.093737,13355.23047,25,0,17,0,"S1",TRUE
198,1.29,44675,TRUE,0,0,22,25,35,11,33,56,1605,0,160,0,0,189,8749,113,0,522,720,23,6,107,418,0,6507,0,745,0,0,0,0,20,6,67,43,0,44,0,24,19033,5323,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000056.spe",112.04,7.1,1,0.018309,-0.003173,0.009939,0.093737,13739.31055,69,0,7,7.63e+14,"S1",TRUE
200,1.38,55182,TRUE,0,9,36,29,36,12,41,77,3201,6,412,0,26,426,16669,119,0,936,1067,0,127,127,558,0,6103,0,848,0,0,0,0,6,15,150,95,14,33,0,0,18861,5031,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000057.spe",114.04,7.1,1,0.018309,-0.003173,0.009939,0.093737,15278.03125,112,108,13,0,"S1",TRUE
202.06,1.25,38460,TRUE,21,0,12,11,41,11,58,33,1379,22,152,30,0,197,9589,150,0,432,566,0,107,101,413,41,4467,57,687,0,0,0,9,42,78,62,38,36,0,0,0,15296,4278,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000058.spe",116.1,7.12,1,0.018309,-0.003173,0.009939,0.093737,11608.01758,44,31,16,0,"S1",TRUE
204,1.27,37362,TRUE,5,0,8,0,24,0,57,38,995,0,146,0,6,162,6948,69,0,422,561,21,35,104,313,76,5210,0,688,0,0,0,0,12,61,76,75,80,10,16,0,16512,4620,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000059.spe",118.04,7.22,1,0.018309,-0.003173,0.009939,0.093737,11761.80957,12,21,0,0,"S1",TRUE
206,1.35,26526,FALSE,5,16,12,4,15,NA,70,17,608,8,55,NA,NA,55,3251,66,6,202,307,37,51,65,135,38,3515,NA,681,NA,4,NA,NA,NA,NA,6,22,21,NA,NA,NA,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000060.spe",120.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
208,1.35,30890,FALSE,NA,NA,NA,16,30,NA,67,27,1304,NA,122,11,5,190,6714,24,NA,412,538,20,39,141,332,17,3829,24,518,8,NA,NA,11,38,36,28,34,15,60,9,11,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000061.spe",122.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
210,1.33,20715,FALSE,21,5,NA,4,24,NA,67,7,494,10,56,13,NA,88,2221,12,NA,193,236,NA,79,NA,183,6,2828,NA,613,5,NA,NA,NA,23,NA,96,39,NA,NA,NA,NA,NA,NA,"C:\Data\ITRAX\ARD_Aug 2013_Mo-tube_Reanalysed_USE\ARD1A\XRF data\L000062.spe",124.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S1",FALSE
