"Core","depth_cm","Group","Guano_Zone","Guano_sum","SH20_age","kcps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Sn","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","cps_sum"
"YAN 9B-1_200um",198.44,"Unit 5","YAN FW",1,5689.48,28850.75195,1.39,-5.15386946218216,NA,-2.72906673646387,-5.66469508594815,-3.04973530791196,NA,-2.74692435386388,-1.18546612331791,-0.157333092465409,NA,0,-2.42601663378377,-3.25176193578524,-1.13568626092563,4.24537906060778,-1.94302580901123,NA,-1.47000254989177,-2.30896007836276,NA,NA,-3.08700670270919,-2.20418112712958,-1.77287478783753,0.200828237801981,NA,-0.937307267235814,NA,NA,NA,-1.61001578011849,-0.81006404032848,-2.09047854015436,-1.87672472918999,-2.979117740698,-2.34446676681967,-2.62017264822473,NA,-4.02246735069106,2.13560453117814,1.0922373032994,19808,2.83875968992248,0.352266521026761,151620
"YAN 9B-1_200um",198.46,"Unit 5","YAN FW",1,5689.95,29649.71289,1.31,-5.05751887999511,NA,-2.87146760325701,-4.58751525074937,-3.06964453184076,NA,-2.50807370906953,-1.27560455991398,-0.24777652827824,NA,0,-2.30385816764084,-3.3170527051546,-1.16162525649684,4.39163364708322,-1.39139641300379,NA,-1.57627879065941,-1.7728553145889,NA,NA,-2.78539299448577,-2.46226417303824,-1.43852555334534,0.280980276185762,NA,-0.870899041663835,NA,NA,-5.41419382393384,-1.55798559761209,-0.864838417052144,-2.1236620101592,-1.76539259338731,-2.11835695792951,-2.37649735128082,-2.18395424041532,-2.9533847257249,-3.00339514629956,2.24840830960105,1.18334158957115,20024,2.90103253458017,0.344704855281714,157714
"YAN 9B-1_200um",198.48,"Unit 5","YAN FW",1,5690.42,30765.65234,1.44,-5.43372200355424,-5.5878726833815,-2.58384160701281,-4.89472550282155,-2.75465933932528,-4.48926039471339,-2.58384160701281,-1.10675514606339,-0.231286408709485,NA,0,-1.84624266388203,-3.26875828843624,-0.941880502873152,4.45476067973058,-2.38919956583082,NA,-1.5896719817123,-1.91580034758394,-2.52760188868994,NA,-2.75465933932528,-2.36235231579463,-1.19961549895698,0.183049094112332,NA,-1.18931674675641,NA,NA,-3.59544251869129,-1.65932037600214,-0.794840760223837,-2.53544506615096,-1.61131115681578,-1.96798610075451,-2.2091481575714,-2.18667530171934,-3.28528759038745,-3.14552564801229,2.20296119326868,1.1297304596915,19471,2.92481354565612,0.341902136457615,168333
"YAN 9B-1_200um",198.5,"Unit 5","YAN FW",1,5690.89,30650.58398,1.46,NA,NA,-2.74775007094889,NA,-3.10309079187449,NA,-2.80545838856954,-1.27639327128515,-0.281711905465277,NA,0,-2.13231187471627,-3.06387007872121,-0.965380342070679,4.42960420195448,-1.91524736947844,NA,-1.88324463839226,-1.88324463839226,NA,-5.11799381241676,-2.85623071394296,-2.30258509299405,-1.37320672636452,0.0810555524726125,NA,-0.95599060172084,NA,NA,-4.71252870430859,-1.35215331716669,-0.949779401628199,-2.36433310006249,-2.21109275256938,-2.72009853961838,-2.61655786067754,-3.02612975073836,NA,-3.89421838079464,2.13900889467532,1.07743146658866,19085,2.89092762487258,0.345909732016925,169469
"YAN 9B-1_200um",198.52,"Unit 5","YAN FW",1,5691.36,30650.46094,1.51,-6.13394019535474,NA,-2.92511470634004,NA,-3.5689908378932,NA,-3.08941775763131,-1.48236363655249,-0.417735200699979,NA,0,-2.46398875112632,-3.04289774199642,-1.09861228866811,4.34319988184842,-1.62859034464886,NA,-2.06064904233047,-2.12660701012227,NA,NA,-4.95528519901309,-2.14959652834696,-1.66803207670015,-0.14874526126035,NA,-0.924454042513316,NA,NA,NA,-1.90710645008656,-1.04018999454797,-2.62988542825287,-1.91076276128967,-2.2998787313963,-2.39033584155155,-2.51628825052917,NA,-2.4450607412408,2.06518044228565,0.987110298886795,19502,2.93900222177338,0.340251529104529,171769
"YAN 9B-1_200um",198.54,"Unit 5","YAN FW",1,5691.83,30444.16992,1.53,-4.84418708645859,-4.97771847908311,-2.87184368033512,-5.31419071570433,-3.36828056664901,NA,-2.90724560738604,-1.69788195442523,-0.540121993254422,NA,0,-2.284057015433,-3.12813943896623,-1.17582926806545,4.24065383601888,-2.21409842682609,NA,-1.96780157053717,-1.99637494298122,-3.52243124647627,NA,-5.41955123136215,NA,-1.43262691776089,-0.275291956335212,NA,-1.12605227419587,NA,NA,-5.41955123136215,-1.99637494298122,-1.18222928991092,-2.56053000335006,-1.94002200643009,-2.49281182929511,-2.1445051350269,-2.27444155673356,NA,-3.11696613836811,1.94541790193733,0.841728386369185,18932,3.0152704135737,0.331645213476824,170508
"YAN 9B-1_200um",198.56,"Unit 5","YAN FW",1,5692.3,32005.18945,1.57,NA,-5.96614673912369,-3.16278635821716,-5.56068163101553,-3.29199808969716,-6.37161184723186,-3.22530671519849,-1.66433643830661,-0.440693799991908,NA,0,-2.5214642455218,-3.2470467018349,-1.29487675143108,4.19563269440707,-2.42518741508638,NA,-2.54842005551033,-2.11245931070851,NA,NA,NA,-3.05742584255933,-1.6094379124341,-0.475145028746154,NA,-1.23581341018159,NA,NA,NA,-2.00851322244349,-1.3609765531356,-2.62800749342867,-1.94079504838854,-2.63394222894849,-3.04837600703941,-2.61041173153829,-4.04433414164744,-2.76747362157301,1.77993773026289,0.696347183290616,18570,2.95527156549521,0.338378378378378,184887
"YAN 9B-1_200um",198.62,"Unit 5","YAN FW",1,5693.71,31895.80078,1.6,NA,-5.19628464098288,-2.91390225530636,-4.66565638992071,-2.92415875547355,NA,-2.97708115692789,-1.5586984812565,-0.401320883362138,NA,0,-2.36897101905386,-3.42133229007121,-0.953520073642511,4.43743933960381,-1.96548024524941,NA,-2.36307129692667,-2.0308095928418,NA,NA,NA,-3.58684672854878,-1.34189074839138,0.0208226701396085,NA,-1.05951936287683,NA,NA,NA,-1.6437978117745,-0.979722446036535,-2.34557813947915,-1.98141683751222,-2.26242777114698,-2.02240618204542,-2.4684318125845,-3.62766872306904,-3.69220724420661,2.05845881634844,0.980206135326179,18961,2.93953874922086,0.340189426067289,182080
"YAN 9B-1_200um",198.64,"Unit 5","YAN FW",1,5694.18,32688.16016,1.61,NA,NA,-2.96238674079728,NA,-3.23230635690922,NA,-2.84102588379301,-1.52627867396517,-0.285645977347624,NA,0,-2.41358186896607,-3.48765304871806,-1.12166644437352,4.47685663452787,-2.24796216179005,NA,-2.34169463945275,-1.74559324804228,NA,NA,NA,-3.60316593583991,-1.23923619219717,-0.0207814274544083,NA,-1.0652667559114,NA,NA,-4.02925033115081,-1.62286844447512,-1.03351805759682,-2.11049117116144,-1.75198304614105,-2.52517293437453,-1.96159674522301,-1.7551933217713,NA,-2.715862740839,2.06071532206411,0.994835760669572,18990,2.90339157245632,0.344424778761062,187852
"YAN 9B-1_200um",198.66,"Unit 5","YAN FW",1,5694.65,31978.0957,1.52,-4.82945594188108,NA,-2.84354045821207,-4.9035639140348,-2.758983070184,-4.33301905556719,-2.99117645701813,-1.47704872438835,-0.313116969599603,NA,0,-2.09323486381217,-2.89380229299295,-0.889262059486236,4.46083702381839,-2.05241286929192,NA,-2.38710890651187,-1.72551008368685,-4.69592454925656,NA,-4.37747081813802,-2.30945797228181,-1.52309266288976,0.0107863662864969,NA,-1.08163395213369,NA,NA,NA,-1.46957670954965,-0.980829253011726,-2.484906649788,-2.06583588962406,-2.29236353892251,-2.27001624023051,-2.0347912679421,NA,-2.69782864703067,2.06687720940037,1.01014697020312,18652,2.87694865932239,0.347590492016473,180912
"YAN 9B-1_200um",198.68,"Unit 5","YAN FW",1,5695.12,30169.48633,1.61,-3.64283551561253,-4.19622075379732,-2.63123460393405,-4.62366476862426,-2.98790954787278,NA,-2.91287436192987,-1.35030075847199,-0.211270597333978,NA,0,-2.18422049291301,-3.06903509268515,-0.924834983657151,4.45133686417441,-1.51460380976326,NA,-1.61468726832024,-1.76719456240377,-2.78842018745646,NA,NA,-2.2379647689197,-1.80626203059468,0.180902574948045,NA,-1.01094667547588,NA,NA,-5.53995550049841,-1.61468726832024,-0.871810515348931,-2.63123460393405,-1.85525141779496,-1.9380874233741,-2.46418051927088,-2.13875811883626,NA,-3.05504885071041,2.3078070369752,1.23464926569622,20612,2.92460015232292,0.341927083333333,161679
"YAN 9B-1_200um",198.7,"Unit 5","YAN FW",1,5695.59,31135.03516,1.61,-6.08847782127798,-4.33927796646872,-2.58442305417612,-4.70218346015809,-2.84004319416823,-4.90982282493633,-2.91042399093003,-1.39712993904884,-0.248563172297199,NA,0,-2.27076549532107,-3.4857881358336,-1.04344110046439,4.35718139415739,-1.92569609750265,NA,-1.72537919648962,-2.08114463604551,-3.19810606338182,NA,NA,-2.43781957998424,-1.65766102243467,-0.0369770607259382,NA,-1.02430176025369,NA,NA,NA,-1.78104004359517,-0.844088796755499,-2.62274191847825,-1.71272079961769,-2.15176220325946,-2.21727681037009,-2.1276646516804,NA,-3.15728406886156,2.1678050481839,1.07353200404342,20565,2.9870104691741,0.33478289089375,168831
"YAN 9B-1_200um",198.72,"Unit 5","YAN FW",1,5696.06,31148.9375,1.4,-4.17877324183889,-4.33292392166615,-2.792478880719,-4.67776440795788,-3.02234138228196,NA,-2.91585790187951,-1.34977043031902,-0.249050659311344,NA,0,-2.51376547824998,-3.1542689253245,-1.07643123322664,4.31307283713438,-1.6445096950808,NA,-2.03451420008258,-2.02618081852344,-3.10425850474984,-4.80292755091189,-3.18024441172776,-2.47402514960047,-1.52452574672966,-0.131345599404542,-3.82209829790016,-0.911107252801259,NA,NA,NA,-1.56555714340752,-0.934508182965871,-2.52054516523536,-1.72408037064739,-2.16864350004928,-2.03451420008258,-2.23797819345035,-2.93626677351071,-2.32919420172201,2.14225195671625,1.07816393871473,20945,2.89819467708915,0.345042383765733,168813
"YAN 9B-1_200um",198.76,"Unit 5","YAN FW",1,5697,33413.32031,1.47,-5.59418017109001,-5.46064877846549,-2.93492013415723,NA,-2.95512284147475,NA,-3.46255287623961,-1.43529708773034,-0.16546130492638,NA,0,-2.37530434622181,-3.23602522694116,-0.940219820932488,4.43041820719517,-2.20255224044401,NA,-2.1787981544359,-2.07203017901019,-3.90250416041894,NA,-3.85121086603139,-3.01830174309628,-1.47630511145772,-0.166088460795165,-3.608264687421,-1.20503606864727,NA,NA,NA,-1.67079340701155,-1.0343062600171,-3.49703905231077,-2.0106612326339,-2.35270451430457,-2.39259584333187,-2.1239899179409,NA,-2.71980875454029,2.06046614917628,1.00042869657441,19891,2.88647909339586,0.34644283490151,188596
