"Record","Section","Strat_Depth_cm","SH20_95CI_min_age","SH20_95CI_max_age","SH20_median_age","SH20_mean_age","Type","Group","Guano_Zone","Guano_Sum","Si","Ti","Al","Fe","Mn","Mg","Ca","Na","K","P","Location","Location1","Location2","Reference"
"ARD","ARD1A",63,2633.92,3075.08,2938.8,2921.76,"Freshwater","Unit A11","ARD GZ 0","Non Guano",19.42153305675,0.61731390979,7.09712179659,4.18963811189,0.09293411148,1.2784170704,5.1460481016,1.86946337088,0.45657836895,2.27806931412,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",64.5,2645.52,3088.04,2948.97,2932.52,"Freshwater","Unit A10","ARD GZ 4","Guano",17.3321406918,0.50943380905,4.91664888071,4.0419514252,0.10067862077,0.693480958,7.16158360806,1.28340144112,0.42337266939,4.23755805366,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",65,2648,3092.82,2951.81,2936.11,"Freshwater","Unit A10","ARD GZ 4","Guano",15.24274832685,0.40155370831,5.91691436882,4.01085949116,0.11616763935,0.693480958,6.92572307007,1.4466085608,0.53129119296,4.00189571082,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",67,2670.64,3106.75,2967.09,2950.27,"Freshwater","Unit A10","ARD GZ 4","Guano",20.4171495528,0.64128726551,7.16063071647,4.67156308951,0.10842313006,1.3929921852,5.717831224,1.97332244704,0.44827694406,2.1165969681,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",67.6,2675.59,3111.03,2970.74,2954.52,"Freshwater","Unit A10","ARD GZ 4","Guano",13.54131919745,0.37158701366,5.21831625014,3.94867562308,0.13940116722,0.723632304,7.56183179374,1.26856443024,0.40676981961,4.04990100288,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",69,2687.3,3123.66,2979.82,2964.43,"Freshwater","Unit A10","ARD GZ 4","Guano",14.50421590255,0.35360699687,5.64170904934,3.97976755712,0.13940116722,0.6271479968,7.36885498993,1.38726051728,0.64751114142,4.40339451714,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",70.8,2701.37,3137.75,2992.3,2977.42,"Freshwater","Unit A10","ARD GZ 4","Guano",13.835797316,0.37158701366,5.31887203995,4.05749739222,0.13940116722,0.7296625732,7.39029685702,1.26856443024,0.42337266939,4.07608570764,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",71,2702.82,3138.82,2993.71,2978.89,"Freshwater","Unit A10","ARD GZ 4","Guano",11.86793560315,0.31764696329,4.82138550089,3.70771313427,0.1548901858,0.5547847664,7.85487064397,1.17212385952,0.48978406851,4.32920452032,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",73,2724.54,3156.51,3008.28,2993.66,"Freshwater","Unit A10","ARD GZ 4","Guano",10.48435587155,0.29367360757,4.38740788171,3.29574500824,0.1548901858,0.5366939588,8.46239021152,1.04600926704,0.43997551917,4.4732203965,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",74,2734.58,3166.6,3014.88,3001.05,"Freshwater","Unit A10","ARD GZ 4","Guano",14.1629952255,0.38357369152,5.34004167991,3.87871877149,0.14714567651,0.7899652652,7.04722698358,1.26856443024,0.39846839472,3.74004866322,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",75,2745.24,3177.25,3021.36,3008.44,"Freshwater","Unit A10","ARD GZ 4","Guano",13.5179479182,0.40155370831,5.27653276003,4.13522722732,0.13165665793,0.8080560728,7.54038992665,1.35016799008,0.4150712445,3.68331513624,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",77,2765.14,3190.2,3038.12,3025.78,"Freshwater","Unit A10","ARD GZ 4","Guano",16.3411984516,0.50943380905,6.09156389849,4.68710905653,0.10067862077,1.0975089944,6.76848271141,1.69883774576,0.4980854934,3.02869751724,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",77.1,2766.11,3190.94,3038.97,3026.64,"Freshwater","Unit A10","ARD GZ 4","Guano",15.47646111935,0.41354038617,5.6628786893,3.94867562308,0.10842313006,0.8201166112,6.82566102365,1.47628258256,0.4980854934,3.50438632038,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",79,2783.6,3210.36,3053.18,3043.12,"Freshwater","Unit A10","ARD GZ 4","Guano",15.78496200545,0.61132057086,6.49378705773,4.75706590812,0.13940116722,1.3085684164,8.13361491614,1.83978934912,0.4980854934,3.1639851585,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",80.3,2797.77,3223.6,3063.96,3054.41,"Freshwater","Unit A10","ARD GZ 4","Guano",13.09259063585,0.35360699687,5.08600600039,3.76989700235,0.14714567651,0.723632304,7.66904112919,1.15728684864,0.37356412005,4.24628628858,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",81,2804.84,3228.39,3070.2,3060.53,"Freshwater","Unit A10","ARD GZ 4","Guano",16.359895475,0.60532723193,6.58375802756,5.25453685276,0.13165665793,1.326659224,7.74051401949,1.83978934912,0.43997551917,2.9239586982,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",83,2831.65,3247.74,3087.05,3078.01,"Freshwater","Unit A10","ARD GZ 4","Guano",16.16825098515,0.62330724872,6.55729597761,4.99025541342,0.13165665793,1.3145986856,7.76195588658,1.84720785456,0.45657836895,2.91086634582,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1B",83.5,2837.31,3253.11,3091.68,3082.38,"Freshwater","Unit A10","ARD GZ 4","Guano",13.03649956565,0.34761365794,5.05425154045,4.0419514252,0.18586822296,0.7356928424,7.99781642457,1.30565695744,0.44827694406,4.3204762854,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
