"Sample_code","Record","Section","Strat_Depth_cm","SH20_95CI_min_age","SH20_95CI_max_age","SH20_median_age","SH20_mean_age","Type","Group","Guano_Zone","Guano_Sum","Al","Fe","Mg","Mn","Ca","Na","K","P","Location","Location1","Location2","Reference"
"KG-13","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",2.24128232906451,1.67286074031048,0.791488307782737,-2.37135107115251,1.85535460493003,0.161520856985604,-1.25208588665745,-3.09906988126341,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-2","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",1.88610119438057,1.53330583889558,0.716171324149273,-2.5430471817792,1.46507622805496,0.536940371530102,-0.477932463168442,-3.11661531206284,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-9b","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",1.93004533603479,1.44896954997636,0.420255426060088,-2.24732284565028,1.4195745311862,0.463331366848369,-0.662752552691037,-2.77210081176449,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-9a","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",1.95038073670279,1.4914044731194,0.473074966018497,-2.48757622677853,1.46818177302918,0.622153295729514,-0.744156733210473,-2.77346228461039,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-8","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",1.96057853319674,1.56645701512826,0.201417896564825,-2.445681843802,1.2999874771713,0.745076093704336,-0.627038928996359,-2.70079624296711,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-3","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",1.78600348476897,1.40055239337828,0.204538454363899,-1.92417644581587,1.20055928149023,0.729306433029652,-0.82758006113352,-2.56920354008165,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"KG-4","FP Bedrock",NA,NA,NA,NA,NA,NA,"Bedrock","FP Bedrock","FP Bedrock","Non Guano",1.88948266598849,1.33592381590823,0.245345649243788,-2.38436234841117,1.02619620653924,0.646481204551159,-0.462535197370296,-2.29653199644944,"Fildes Peninsula","King George Island","SSI","Machado et al. (2005)"
"1-g","SP Ornithogenic Soils",NA,NA,NA,NA,NA,NA,"Ornithogenic Soil","SP Ornithogenic Soils","SP Ornithogenic Soils","Guano",0.841461335264694,0.877029170009604,-1.38120267040435,-3.47417522753865,2.56553956818653,-0.249911865001638,-1.11895232562242,1.94021201510623,"Stranger Point","King George Island","SSI","Tatur et al. (1997)"
"2-g","SP Ornithogenic Soils",NA,NA,NA,NA,NA,NA,"Ornithogenic Soil","SP Ornithogenic Soils","SP Ornithogenic Soils","Guano",0.816200139521894,0.8502048163346,-1.38086831913342,-3.61687004341632,2.66036221516581,-0.194398563494306,-1.08471642253719,1.95008617755892,"Stranger Point","King George Island","SSI","Tatur et al. (1997)"
"3-g","SP Ornithogenic Soils",NA,NA,NA,NA,NA,NA,"Ornithogenic Soil","SP Ornithogenic Soils","SP Ornithogenic Soils","Guano",0.885495208139143,1.1134446143766,-1.25273275133726,-3.47318775218685,2.51969552365618,-0.319555747980567,-1.22467579326234,1.7515166985951,"Stranger Point","King George Island","SSI","Tatur et al. (1997)"
"4a-g","SP Ornithogenic Soils",NA,NA,NA,NA,NA,NA,"Ornithogenic Soil","SP Ornithogenic Soils","SP Ornithogenic Soils","Guano",0.615233707543115,0.81157293128066,-1.22162623535175,-2.71338911735906,2.76632427311485,-0.7448134682623,-1.50942222530147,1.99612013433596,"Stranger Point","King George Island","SSI","Tatur et al. (1997)"
"4b-g","SP Ornithogenic Soils",NA,NA,NA,NA,NA,NA,"Ornithogenic Soil","SP Ornithogenic Soils","SP Ornithogenic Soils","Guano",1.24483573473705,1.29113645102486,-1.2760198003143,-3.49415550087554,2.03816200090842,-0.597799012743781,-0.691620379833848,1.48546050709714,"Stranger Point","King George Island","SSI","Tatur et al. (1997)"
"5-g","SP Ornithogenic Soils",NA,NA,NA,NA,NA,NA,"Ornithogenic Soil","SP Ornithogenic Soils","SP Ornithogenic Soils","Guano",0.690194459141216,0.816177830274294,-1.15141931241839,-2.8001859386498,2.78741617490631,-0.67195753823423,-1.67960065983493,2.00937498481553,"Stranger Point","King George Island","SSI","Tatur et al. (1997)"
